Account Name,Account ID,CSM Name,Account Tier,Projected Deal Value,Months Active,"Website with Elements, Onetime #","Website with Elements, Recurring #","Website without Elements, One-time #","Website without Elements, Recurring #","Campaign Pages, One-time #","Campaign Pages, Recurring #","P2P, One-time #","P2P, Recurring #","Virtual Terminal, One-time #","Virtual Terminal, Recurring #","API, One-time #","API, Recurring #","Recurring Migrations, #","Totals, One-time #","Totals, Recurring #","Website with Elements, One-time %","Website with Elements, Recurring %","Website without Elements, One-time %","Website without Elements, Recurring %","Campaign Pages, One-time %","Campaign Pages, Recurring %","P2P, One-time %","P2P, Recurring %","Total, One-time %","Total, Recurring %","Employer Name Filled, Donors %","USED Suggested Amount, Donations %","INCREASED Suggested Amount, Donations %","DECREASED Suggested Amount, Donations %","HAD NO Suggested Amount, Donations %",Total Donations Volume $
Islamic Networks Group (ING),APDWENFS,Alias (DIY),Tier 6 (<$5K),$900,25,"$48,998","$4,660",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$48,998","$4,660",91.3%,8.7%,,,,,,,91.3%,8.7%,9.4%,88.7%,11.3%,0.0%,0.0%,"$53,658"
CoachArt,AEUHPBFQ,Alias (DIY),Tier 6 (<$5K),,25,"$30,503","$1,043","$15,159","$2,425","$1,015",$0,"$2,914",$530,$0,$0,$0,$0,$0,"$49,591","$3,997",96.7%,3.3%,86.2%,13.8%,100.0%,0.0%,84.6%,15.4%,92.5%,7.5%,16.1%,2.2%,43.3%,54.4%,0.0%,"$53,588"
The Seeing Eye Organization,AMDPDUZV,,,,6,"$2,632",$0,"$35,311",$555,"$7,856",$703,$0,$0,"$6,114",$266,$0,$0,$0,"$51,912","$1,523",100.0%,0.0%,98.5%,1.5%,91.8%,8.2%,,,97.1%,2.9%,3.1%,16.0%,32.0%,52.1%,0.0%,"$53,435"
ASCRS Foundation,ACYFHBCY,Alias (DIY),Tier 6 (<$5K),"$2,100",25,"$11,790","$1,572","$38,868","$1,194",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$50,657","$2,766",88.2%,11.8%,97.0%,3.0%,,,,,94.8%,5.2%,0.0%,13.4%,20.9%,65.7%,0.0%,"$53,423"
Cultiva International,ARWTZCVM,Alias (DIY),Tier 6 (<$5K),"$1,000",25,"$2,218","$36,957",$532,"$7,918",$0,$0,"$5,453",$323,$0,$0,$0,$0,$0,"$8,203","$45,198",5.7%,94.3%,6.3%,93.7%,,,94.4%,5.6%,15.4%,84.6%,10.0%,0.0%,56.7%,43.3%,0.0%,"$53,401"
Camino Wellbeing + Mental Health,AHBUDURQ,Alias (DIY),,,18,"$6,145",$0,"$36,948","$3,007","$7,057",$126,$0,$0,$72,$0,$0,$0,$0,"$50,222","$3,133",100.0%,0.0%,92.5%,7.5%,98.2%,1.8%,,,94.1%,5.9%,6.6%,5.6%,39.1%,53.8%,1.5%,"$53,355"
Qualia: The School for Deeper Learning,ASFURMHZ, ,Tier 4 ($10K–$20K),,25,$108,$0,"$8,585","$6,588","$38,037",$0,$0,$0,$0,$0,$0,$0,$0,"$46,730","$6,588",100.0%,0.0%,56.6%,43.4%,100.0%,0.0%,,,87.6%,12.4%,18.5%,7.1%,35.7%,57.1%,0.0%,"$53,318"
600 Million Dogs,ASDJQGMK, ,Tier 6 (<$5K),,19,"$3,394","$2,588",$106,$351,"$27,495","$19,380",$0,$0,$0,$0,$0,$0,$0,"$30,995","$22,319",56.7%,43.3%,23.2%,76.8%,58.7%,41.3%,,,58.1%,41.9%,0.0%,6.8%,6.8%,83.2%,3.2%,"$53,315"
Citychurch Outreach Ministry,AECFDSSY,Heloise Rangel,,,5,"$1,071",$0,"$10,920",$57,"$40,972",$249,$0,$0,$0,$0,$0,$0,$0,"$52,962",$306,100.0%,0.0%,99.5%,0.5%,99.4%,0.6%,,,99.4%,0.6%,0.0%,6.3%,46.9%,46.9%,0.0%,"$53,268"
LHON Collective,ACPVFXNX,Alias (DIY),Tier 5 ($5K–10K),"$5,000",25,$0,$0,$162,$0,"$49,489","$2,228","$1,357",$0,$0,$0,$0,$0,$0,"$51,009","$2,228",,,100.0%,0.0%,95.7%,4.3%,100.0%,0.0%,95.8%,4.2%,0.0%,0.0%,0.0%,100.0%,0.0%,"$53,236"
Scleroderma & Raynaud’s UK,AGQXFJGN,Alias (DIY),,,9,"$14,821",$614,"$23,726","$4,221","$5,014",$325,$0,$0,"$4,357",$121,$0,$0,$0,"$47,918","$5,281",96.0%,4.0%,84.9%,15.1%,93.9%,6.1%,,,90.1%,9.9%,3.1%,37.7%,15.2%,47.2%,0.0%,"$53,199"
Health and Hope UK,AJFGBXHB,Alias (DIY),Tier 6 (<$5K),,25,"$4,824",$598,"$43,373","$4,354",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$48,197","$4,952",89.0%,11.0%,90.9%,9.1%,,,,,90.7%,9.3%,0.0%,9.5%,82.5%,7.5%,0.5%,"$53,149"
Starts With One Today,ABSRCXDV,Alias (DIY),Tier 6 (<$5K),,17,"$38,501","$13,177",$324,"$1,086",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$38,826","$14,263",74.5%,25.5%,23.0%,77.0%,,,,,73.1%,26.9%,0.0%,73.2%,8.5%,18.3%,0.0%,"$53,089"
Release Aging People in Prison,ARHRDETM, ,,,25,$0,$0,$0,$0,"$49,452","$3,506",$0,$0,$0,$0,$0,$0,$0,"$49,452","$3,506",,,,,93.4%,6.6%,,,93.4%,6.6%,1.0%,,,,,"$52,958"
Rebuild,AEFYDEJU, ,,,8,$0,$0,$0,$0,"$46,039","$6,893",$0,$0,$0,$0,$0,$0,$0,"$46,039","$6,893",,,,,87.0%,13.0%,,,87.0%,13.0%,0.0%,,,,,"$52,932"
3DP4ME,AKTGTXYU,Alias (DIY),Tier 6 (<$5K),"$1,500",25,"$35,456","$10,971","$5,107",$60,$0,$0,"$1,334",$0,$0,$0,$0,$0,$0,"$41,896","$11,031",76.4%,23.6%,98.8%,1.2%,,,100.0%,0.0%,79.2%,20.8%,0.0%,49.2%,42.4%,8.5%,0.0%,"$52,927"
Missoula Aging Services,ACHEXPCL,Alias (DIY),Tier 6 (<$5K),"$2,000",25,"$29,131","$5,406",$983,"$1,153","$6,761","$1,724",$0,$0,"$2,500","$5,233",$0,$0,$0,"$39,375","$13,516",84.3%,15.7%,46.0%,54.0%,79.7%,20.3%,,,74.4%,25.6%,0.0%,9.2%,31.9%,58.3%,0.6%,"$52,891"
Open Medicine Foundation Australia Limited,ASRQXVQE, ,,,25,$263,$0,"$45,877","$6,189",$0,$0,$440,$0,$0,$0,$0,$0,$0,"$46,581","$6,189",100.0%,0.0%,88.1%,11.9%,,,100.0%,0.0%,88.3%,11.7%,0.0%,10.9%,35.3%,53.8%,0.0%,"$52,770"
Muslim Cultural Heritage Centre,AVGJEEKE,Alias (DIY),Tier 6 (<$5K),,24,"$43,560","$6,534","$2,153",$514,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$45,713","$7,047",87.0%,13.0%,80.7%,19.3%,,,,,86.6%,13.4%,0.0%,56.9%,8.5%,32.8%,1.8%,"$52,760"
Sinapis,AXDZSZRL,Alias (DIY),,,9,$570,$0,"$42,619","$9,502",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$43,189","$9,502",100.0%,0.0%,81.8%,18.2%,,,,,82.0%,18.0%,0.0%,6.5%,56.5%,37.0%,0.0%,"$52,691"
Midland Festival Ballet,ALPDHKKS,Alias (DIY),Tier 6 (<$5K),,25,"$35,679","$16,256",$200,$474,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$35,879","$16,731",68.7%,31.3%,29.7%,70.3%,,,,,68.2%,31.8%,12.7%,70.7%,12.1%,17.2%,0.0%,"$52,609"
Reina's Hope,ADACTUVQ,Alias (DIY),,,17,"$37,637","$11,864","$2,659",$428,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$40,296","$12,292",76.0%,24.0%,86.1%,13.9%,,,,,76.6%,23.4%,0.0%,82.1%,12.6%,3.2%,2.1%,"$52,588"
The Friends of St Luke's,AXHLADFK,Alias (DIY),,,12,"$29,648","$1,290",$739,"$1,522","$5,642",$314,$0,$0,"$12,022","$1,338",$0,$0,$0,"$48,050","$4,465",95.8%,4.2%,32.7%,67.3%,94.7%,5.3%,,,91.5%,8.5%,0.0%,9.2%,37.6%,53.2%,0.0%,"$52,515"
The Witness BCC,ALJVQYQB,Emilie Poignet,Tier 6 (<$5K),"$7,500",25,$867,"$51,523",$0,$120,$0,$0,$0,$0,$0,$0,$0,$0,$0,$867,"$51,643",1.7%,98.3%,0.0%,100.0%,,,,,1.7%,98.3%,18.2%,100.0%,0.0%,0.0%,0.0%,"$52,510"
Meher Mount,AJQSYBUB,Alias (DIY),Tier 6 (<$5K),$180,25,"$30,478","$19,817",$370,$76,"$1,411",$0,$0,$0,$165,$180,$0,$0,$0,"$32,424","$20,073",60.6%,39.4%,83.0%,17.0%,100.0%,0.0%,,,61.8%,38.2%,0.0%,91.0%,4.7%,3.0%,1.3%,"$52,497"
Hunger Relief International,AVYKNXRP,Alias (DIY),Tier 6 (<$5K),"$2,400",25,"$37,569","$8,918","$3,264","$2,249",$0,$480,$0,$0,$0,$0,$0,$0,$0,"$40,833","$11,647",80.8%,19.2%,59.2%,40.8%,0.0%,100.0%,,,77.8%,22.2%,4.7%,8.5%,38.7%,52.8%,0.0%,"$52,480"
Oklahoma City Police Athletic League Inc,AGXBMYBJ,Alias (DIY),,,16,"$46,042",$267,"$5,436",$57,$602,$0,$0,$0,$0,$0,$0,$0,$0,"$52,080",$324,99.4%,0.6%,99.0%,1.0%,100.0%,0.0%,,,99.4%,0.6%,0.0%,47.6%,33.3%,19.0%,0.0%,"$52,404"
AO1 Foundation,ALSHRZYM,Heloise Rangel,,,3,"$31,333",$418,"$11,559",$54,"$8,701",$225,$0,$0,$0,$0,$0,$0,$0,"$51,592",$697,98.7%,1.3%,99.5%,0.5%,97.5%,2.5%,,,98.7%,1.3%,0.0%,13.0%,35.0%,52.0%,0.0%,"$52,290"
Islamic Society of Vaughan,AKFUZNJP,Alias (DIY),Tier 3 ($20K–$50K),,25,"$5,661","$11,619","$2,336","$26,998",$0,$0,$592,"$5,081",$0,$0,$0,$0,$0,"$8,589","$43,698",32.8%,67.2%,8.0%,92.0%,,,10.4%,89.6%,16.4%,83.6%,0.0%,9.6%,12.5%,76.9%,1.0%,"$52,287"
Sausalito Beautiful,AHEDERCV,Alias (DIY),,,25,"$47,513","$1,492","$3,128",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$50,641","$1,492",97.0%,3.0%,100.0%,0.0%,,,,,97.1%,2.9%,1.6%,46.0%,25.4%,28.6%,0.0%,"$52,133"
Plug In America,AZEWBWKT,Alias (DIY),Tier 6 (<$5K),"$4,000",25,$236,$0,"$23,450","$5,524","$16,425","$3,913",$0,$0,$0,$0,$0,$0,"$2,572","$40,111","$12,009",100.0%,0.0%,80.9%,19.1%,80.8%,19.2%,,,77.0%,23.0%,0.2%,13.6%,22.0%,63.6%,0.8%,"$52,120"
Parkinson's Resource Organization,AYJGNPBW,Alias (DIY),Tier 6 (<$5K),$0,25,"$26,010","$5,682","$15,026","$5,144",$212,$0,$0,$0,$0,$0,$0,$0,$0,"$41,247","$10,826",82.1%,17.9%,74.5%,25.5%,100.0%,0.0%,,,79.2%,20.8%,1.3%,46.8%,14.7%,38.5%,0.0%,"$52,074"
NEC Society,ANFUBPKL,Alias (DIY),Tier 6 (<$5K),"$1,000",10,"$2,287",$512,"$38,827",$190,"$2,867",$187,"$7,172",$0,$0,$0,$0,$0,$0,"$51,154",$889,81.7%,18.3%,99.5%,0.5%,93.9%,6.1%,100.0%,0.0%,98.3%,1.7%,10.4%,16.7%,34.5%,48.8%,0.0%,"$52,042"
American Film Institute,ASGUHUWB, ,Tier 4 ($10K–$20K),"$15,000",25,"$49,184",$455,"$2,300",$67,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$51,484",$522,99.1%,0.9%,97.2%,2.8%,,,,,99.0%,1.0%,3.0%,48.7%,11.1%,40.2%,0.0%,"$52,006"
United Way of Berks County,ABPFGAJN,Alias (DIY),Tier 3 ($20K–$50K),"$43,318",24,$0,$0,"$45,244",$0,"$6,702",$0,$0,$0,$0,$0,$0,$0,$0,"$51,946",$0,,,100.0%,0.0%,100.0%,0.0%,,,100.0%,0.0%,0.0%,11.2%,48.0%,40.8%,0.0%,"$51,946"
KHOL - Jackson Hole Community Radio,ABFLNLJN,Alias (DIY),Tier 6 (<$5K),$900,25,"$24,233","$26,283",$124,"$1,160",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$24,357","$27,443",48.0%,52.0%,9.6%,90.4%,,,,,47.0%,53.0%,0.0%,86.3%,3.9%,9.8%,0.0%,"$51,799"
Faith Hope & Love Ministries,AQMRWCGP,Alias (DIY),,,14,"$6,537","$3,807","$26,478","$6,159",$0,$0,$0,$0,$0,$0,$0,$0,"$8,801","$33,015","$18,767",63.2%,36.8%,81.1%,18.9%,,,,,63.8%,36.2%,0.0%,8.0%,39.9%,50.9%,1.2%,"$51,783"
Kedma,AZAUZEBF,Alias (DIY),,,22,$126,$0,"$1,418",$40,"$48,291","$1,755",$0,$0,$0,$0,$0,$0,$0,"$49,835","$1,795",100.0%,0.0%,97.3%,2.7%,96.5%,3.5%,,,96.5%,3.5%,0.5%,0.0%,21.4%,71.4%,7.1%,"$51,631"
AquaAction,ADUMULUW,Alias (DIY),Tier 6 (<$5K),,19,"$50,413",$917,$179,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$50,592",$917,98.2%,1.8%,100.0%,0.0%,,,,,98.2%,1.8%,0.0%,89.3%,6.7%,4.0%,0.0%,"$51,508"
Smithsonian Institution Traveling Exhibition Service,AFHDMWFQ,,,,9,$0,$0,"$51,317",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$51,317",$0,,,100.0%,0.0%,,,,,100.0%,0.0%,0.0%,5.6%,16.7%,11.1%,66.7%,"$51,317"
Ruthless Kindness,AKVVBHDV,Alias (DIY),Tier 6 (<$5K),,25,"$35,817","$13,212","$1,381",$65,$102,$720,$0,$0,$0,$0,$0,$0,$0,"$37,300","$13,998",73.1%,26.9%,95.5%,4.5%,12.4%,87.6%,,,72.7%,27.3%,0.0%,36.5%,25.0%,37.5%,1.0%,"$51,298"
YMCA Canada (The National Council of Young Men's Christian Associations of Canada),ARPZUDEH,Alias (DIY),Tier 6 (<$5K),"$1,000",23,$0,$0,$153,$0,"$45,634","$5,246",$0,$0,$0,$0,$0,$0,$0,"$45,787","$5,246",,,100.0%,0.0%,89.7%,10.3%,,,89.7%,10.3%,6.5%,0.0%,0.0%,100.0%,0.0%,"$51,034"
LEAP,AQKNPDBC,Alias (DIY),Tier 5 ($5K–10K),$0,16,"$14,929",$132,"$13,223",$954,"$15,428",$645,"$4,171","$1,531",$0,$0,$0,$0,$0,"$47,752","$3,261",99.1%,0.9%,93.3%,6.7%,96.0%,4.0%,73.2%,26.8%,93.6%,6.4%,15.7%,8.9%,36.7%,53.3%,1.1%,"$51,013"
Alkarma TV Australia,ALHTHGCV,,,,25,"$2,132","$3,165","$1,411",$0,$0,$0,$0,$0,"$28,713","$15,566",$0,$0,$0,"$32,257","$18,731",40.3%,59.7%,100.0%,0.0%,,,,,63.3%,36.7%,0.0%,0.0%,18.8%,81.3%,0.0%,"$50,988"
World Housing Inc.,AAJYPWBV,,,,25,"$48,192","$1,889",$776,$80,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$48,969","$1,969",96.2%,3.8%,90.7%,9.3%,,,,,96.1%,3.9%,0.0%,92.9%,5.1%,1.3%,0.7%,"$50,937"
Animal Adoption Center,AFJDYRCC,Alias (DIY),Tier 5 ($5K–10K),,25,"$50,494",$300,$77,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$50,571",$300,99.4%,0.6%,100.0%,0.0%,,,,,99.4%,0.6%,3.9%,28.2%,62.1%,8.7%,1.0%,"$50,871"
Free to Run,AREWDVNR,Alias (DIY),Tier 4 ($10K–$20K),,18,"$41,061","$7,730","$1,298",$77,$54,$0,$583,$0,$0,$0,$0,$0,$0,"$42,996","$7,807",84.2%,15.8%,94.4%,5.6%,100.0%,0.0%,100.0%,0.0%,84.6%,15.4%,5.0%,52.4%,20.7%,26.9%,0.0%,"$50,803"
Breast Cancer Recovery in Action Inc,ACWYERQA,Alias (DIY),Tier 5 ($5K–10K),,25,"$29,144","$8,470","$11,462","$1,463",$106,$106,$0,$0,$0,$0,$0,$0,$0,"$40,711","$10,039",77.5%,22.5%,88.7%,11.3%,50.0%,50.0%,,,80.2%,19.8%,4.9%,40.5%,44.3%,15.2%,0.0%,"$50,750"
SFW Conservation,ACVXDLWN,Alias (DIY),Tier 6 (<$5K),,25,"$5,305","$7,328","$19,981","$2,881",$135,$0,$0,$0,$0,$0,$0,$0,"$15,031","$25,421","$25,239",42.0%,58.0%,87.4%,12.6%,100.0%,0.0%,,,50.2%,49.8%,2.2%,2.3%,43.2%,54.5%,0.0%,"$50,660"
"Legal Education Access Pipeline, Inc.",AUTDZRQR,Alias (DIY),Tier 6 (<$5K),,25,"$27,539","$12,048",$0,"$3,638","$4,194","$3,092",$0,$0,$0,$0,$0,$0,$0,"$31,733","$18,777",69.6%,30.4%,0.0%,100.0%,57.6%,42.4%,,,62.8%,37.2%,13.6%,96.2%,3.8%,0.0%,0.0%,"$50,511"
Coastal Jazz and Blues Society,AKYUWRAV,Alias (DIY),Tier 6 (<$5K),"$5,000",25,"$12,363","$4,241","$15,344",$191,"$13,480","$3,084",$0,$0,$411,"$1,178",$0,$0,$0,"$41,598","$8,694",74.5%,25.5%,98.8%,1.2%,81.4%,18.6%,,,82.7%,17.3%,2.1%,53.4%,20.2%,25.8%,0.6%,"$50,292"
Alcohol Change,AYJJJBSR,Alias (DIY),Tier 6 (<$5K),,20,"$9,579","$1,851","$24,613","$6,991","$5,852","$1,295",$0,$0,$0,$72,$0,$0,$0,"$40,044","$10,210",83.8%,16.2%,77.9%,22.1%,81.9%,18.1%,,,79.7%,20.3%,6.5%,28.8%,17.7%,52.7%,0.8%,"$50,253"
Coastal Maine Botanical Gardens,AVNXJFJQ,Alias (DIY),Tier 4 ($10K–$20K),,25,"$39,102",$672,"$7,476","$2,974",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$46,578","$3,646",98.3%,1.7%,71.5%,28.5%,,,,,92.7%,7.3%,2.6%,9.5%,31.1%,59.5%,0.0%,"$50,223"
HALO Kansas City Capital Campaign,AVYJCYKS,,,,24,"$50,000",$0,$0,$144,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$50,000",$144,100.0%,0.0%,0.0%,100.0%,,,,,99.7%,0.3%,0.0%,0.0%,100.0%,0.0%,0.0%,"$50,144"
Guitars For Vets,AXAAQJWU,Alias (DIY),,,9,"$5,195",$388,"$42,826",$714,"$1,000",$0,$0,$0,$0,$0,$0,$0,$0,"$49,021","$1,102",93.0%,7.0%,98.4%,1.6%,100.0%,0.0%,,,97.8%,2.2%,0.0%,27.0%,26.5%,45.9%,0.6%,"$50,123"
Medics Across Continents,APTUWLBY,Emilie Poignet,Tier 5 ($5K–10K),"$1,000",25,$0,"$36,062",$0,"$14,043",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$50,105",0.0%,100.0%,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,"$50,105"
Together We Bake,AFEERMAR,Alias (DIY),,,10,$250,$0,"$49,330",$446,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$49,580",$446,100.0%,0.0%,99.1%,0.9%,,,,,99.1%,0.9%,0.0%,3.1%,30.9%,65.4%,0.6%,"$50,026"
Tamarindo Foundation,ASQGFKGZ,Alias (DIY),Tier 6 (<$5K),,25,"$8,385","$21,535","$13,384","$6,696",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$21,769","$28,231",28.0%,72.0%,66.7%,33.3%,,,,,43.5%,56.5%,3.6%,8.9%,42.9%,48.2%,0.0%,"$50,000"
DoVE Project,AQQVTQKY,Alias (DIY),Tier 6 (<$5K),$750,25,$0,$700,"$7,021","$41,073",$106,"$1,069",$0,$0,$0,$0,$0,$0,$0,"$7,127","$42,842",0.0%,100.0%,14.6%,85.4%,9.0%,91.0%,,,14.3%,85.7%,14.3%,12.2%,36.6%,51.2%,0.0%,"$49,969"
Sozo Charities,ALPRMHHR,Alias (DIY),Tier 5 ($5K–10K),"$5,000",25,"$35,278","$12,019","$2,503",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$37,781","$12,019",74.6%,25.4%,100.0%,0.0%,,,,,75.9%,24.1%,0.0%,70.3%,21.8%,5.0%,3.0%,"$49,800"
Zakat IOM,ACNJSCVW,,,,12,$0,$0,"$40,931","$8,844",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$40,931","$8,844",,,82.2%,17.8%,,,,,82.2%,17.8%,0.0%,14.1%,16.6%,67.7%,1.7%,"$49,775"
Ayin Press,AHNUUMAP,Alias (DIY),Tier 6 (<$5K),,25,$95,"$2,236","$15,071",$0,"$32,272",$0,$0,$0,$0,$0,$0,$0,$0,"$47,438","$2,236",4.1%,95.9%,100.0%,0.0%,100.0%,0.0%,,,95.5%,4.5%,0.0%,22.6%,25.8%,51.6%,0.0%,"$49,673"
forRefugees,AVVNYLHH,Alias (DIY),Tier 5 ($5K–10K),,14,"$16,449",$340,"$9,754","$5,403","$17,319",$250,$151,$0,$0,$0,$0,$0,$0,"$43,672","$5,993",98.0%,2.0%,64.4%,35.6%,98.6%,1.4%,100.0%,0.0%,87.9%,12.1%,0.0%,17.6%,27.8%,54.5%,0.0%,"$49,665"
Dream.Org,AESEQWUG,Alias (DIY),Tier 5 ($5K–10K),"$8,000",15,$372,$0,"$21,268","$1,840","$6,278",$11,"$19,596",$290,$0,$0,$0,$0,$0,"$47,514","$2,141",100.0%,0.0%,92.0%,8.0%,99.8%,0.2%,98.5%,1.5%,95.7%,4.3%,4.2%,3.4%,10.7%,84.6%,1.3%,"$49,655"
NOCCA Foundation,AENYVWQM,Alias (DIY),Tier 6 (<$5K),"$3,000",25,"$2,222",$749,"$31,898","$14,490",$0,$168,$0,$0,$0,$0,$0,$0,$0,"$34,120","$15,407",74.8%,25.2%,68.8%,31.2%,0.0%,100.0%,,,68.9%,31.1%,10.6%,9.1%,31.3%,59.6%,0.0%,"$49,527"
Community Police Relations Foundation,AZWHQCTM,Alias (DIY),,,10,"$39,855",$0,"$9,646",$16,$6,$0,$0,$0,$0,$0,$0,$0,$0,"$49,507",$16,100.0%,0.0%,99.8%,0.2%,100.0%,0.0%,,,100.0%,0.0%,0.0%,10.7%,25.0%,64.3%,0.0%,"$49,523"
Love Matters Most,AUGUPLPU,Alias (DIY),Tier 6 (<$5K),$600,25,"$24,478","$18,719","$4,627","$1,536",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$29,105","$20,255",56.7%,43.3%,75.1%,24.9%,,,,,59.0%,41.0%,0.0%,56.7%,14.9%,28.4%,0.0%,"$49,360"
CrossRoads Freedom Center,ARJAXUVV,Flavia Castellano,,,6,"$30,410","$3,821","$2,238","$12,654",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$32,648","$16,475",88.8%,11.2%,15.0%,85.0%,,,,,66.5%,33.5%,0.0%,63.8%,32.3%,3.1%,0.8%,"$49,122"
Iowa Heartland Habitat for Humanity,AFGQPXHZ,Alias (DIY),Tier 6 (<$5K),,18,"$46,536","$1,740",$569,$0,$0,$0,$0,$0,$260,$0,$0,$0,$0,"$47,365","$1,740",96.4%,3.6%,100.0%,0.0%,,,,,96.5%,3.5%,0.0%,71.8%,12.5%,15.7%,0.0%,"$49,105"
Ballet Lubbock,AFQRSGHM,Alias (DIY),Tier 6 (<$5K),$300,25,"$15,680","$33,360",$0,$63,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$15,680","$33,423",32.0%,68.0%,0.0%,100.0%,,,,,31.9%,68.1%,0.0%,41.2%,15.7%,43.1%,0.0%,"$49,103"
SOS MEDITERRANEE,AVBZAKHY,Alias (DIY),Tier 2 ($50K–$100K),,16,"$29,272","$12,783","$1,783",$830,"$2,811",$284,"$1,335",$0,$0,$0,$0,$0,$0,"$35,201","$13,896",69.6%,30.4%,68.2%,31.8%,90.8%,9.2%,100.0%,0.0%,71.7%,28.3%,0.0%,34.9%,16.0%,47.5%,1.7%,"$49,097"
VOA Minnesota and Wisconsin,ANYHTTGZ,Wil Pope,,,21,"$21,152","$3,130",$466,$0,"$5,013",$152,$0,$0,"$16,650",$0,$0,$0,"$2,460","$43,282","$5,742",87.1%,12.9%,100.0%,0.0%,97.0%,3.0%,,,88.3%,11.7%,10.7%,9.2%,53.9%,36.8%,0.0%,"$49,024"
The People's Theatre,ALEKTQGS,Alias (DIY),Tier 5 ($5K–10K),"$5,000",25,"$23,390",$480,$0,$0,"$25,032",$119,$0,$0,$0,$0,$0,$0,$0,"$48,422",$599,98.0%,2.0%,,,99.5%,0.5%,,,98.8%,1.2%,5.4%,79.4%,17.6%,2.9%,0.0%,"$49,021"
Rahab House,ATCDZYRH,Alias (DIY),,,18,"$22,247","$22,927","$2,309","$1,313",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$24,556","$24,240",49.2%,50.8%,63.8%,36.2%,,,,,50.3%,49.7%,0.0%,55.0%,16.2%,25.2%,3.6%,"$48,796"
NOVAS,ABMPKSLK,Alias (DIY),Tier 6 (<$5K),,19,$31,$0,"$38,439","$1,851","$4,583",$170,$0,$0,"$3,529",$76,$0,$0,$0,"$46,582","$2,097",100.0%,0.0%,95.4%,4.6%,96.4%,3.6%,,,95.7%,4.3%,0.0%,14.6%,19.4%,66.0%,0.0%,"$48,679"
Our Big Kitchen,AJUBAPNL,Alias (DIY),Tier 6 (<$5K),"$3,300",25,"$39,738","$6,644","$1,216",$417,$600,$0,$0,$0,$0,$0,$0,$0,$0,"$41,554","$7,061",85.7%,14.3%,74.5%,25.5%,100.0%,0.0%,,,85.5%,14.5%,0.0%,5.2%,40.0%,54.3%,0.5%,"$48,615"
One Mind,AULGLEDF,Alias (DIY),Tier 6 (<$5K),"$4,000",25,"$47,046",$656,$843,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$47,889",$656,98.6%,1.4%,100.0%,0.0%,,,,,98.6%,1.4%,5.2%,94.8%,3.4%,1.7%,0.0%,"$48,545"
Medical Home Plus,AAHMXXGP,Alias (DIY),Tier 5 ($5K–10K),,16,$217,$0,"$10,028",$0,"$31,758",$0,"$6,455",$0,$0,$0,$0,$0,$0,"$48,457",$0,100.0%,0.0%,100.0%,0.0%,100.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.6%,0.9%,1.9%,9.3%,87.9%,"$48,457"
Rebuilding Together Metro Denver,AKEUTXQY,Alias (DIY),Tier 6 (<$5K),,25,"$39,212","$5,904","$2,927",$400,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$42,139","$6,304",86.9%,13.1%,88.0%,12.0%,,,,,87.0%,13.0%,1.7%,75.0%,11.7%,11.7%,1.7%,"$48,443"
Bridging The World,AZCPPTLY,Alias (DIY),Tier 6 (<$5K),,25,"$12,783","$13,844","$5,934","$15,701",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$18,717","$29,545",48.0%,52.0%,27.4%,72.6%,,,,,38.8%,61.2%,0.0%,8.3%,30.6%,61.1%,0.0%,"$48,262"
