Account Name,Account ID,CSM Name,Account Tier,Projected Deal Value,Months Active,"Website with Elements, Onetime #","Website with Elements, Recurring #","Website without Elements, One-time #","Website without Elements, Recurring #","Campaign Pages, One-time #","Campaign Pages, Recurring #","P2P, One-time #","P2P, Recurring #","Virtual Terminal, One-time #","Virtual Terminal, Recurring #","API, One-time #","API, Recurring #","Recurring Migrations, #","Totals, One-time #","Totals, Recurring #","Website with Elements, One-time %","Website with Elements, Recurring %","Website without Elements, One-time %","Website without Elements, Recurring %","Campaign Pages, One-time %","Campaign Pages, Recurring %","P2P, One-time %","P2P, Recurring %","Total, One-time %","Total, Recurring %","Employer Name Filled, Donors %","USED Suggested Amount, Donations %","INCREASED Suggested Amount, Donations %","DECREASED Suggested Amount, Donations %","HAD NO Suggested Amount, Donations %",Total Donations Volume $
Veganuary,AXUFGFKH,Flavia Castellano,,,6,"$45,669","$3,473",$927,$43,$8,$9,$0,$0,$0,$0,$0,$0,"$4,421","$46,604","$7,947",92.9%,7.1%,95.5%,4.5%,46.9%,53.1%,,,85.4%,14.6%,0.0%,96.2%,1.3%,2.5%,0.0%,"$54,551"
VOA Illinois,AYDESVEA,Wil Pope,,,22,$11,$214,"$15,077",$0,"$36,318",$86,$0,$0,$0,$0,$0,$0,"$2,655","$51,406","$2,954",4.9%,95.1%,100.0%,0.0%,99.8%,0.2%,,,94.6%,5.4%,22.8%,8.3%,45.8%,45.8%,0.0%,"$54,360"
Good Planet International Foundation,ALQJVFWL,Alias (DIY),Tier 6 (<$5K),,18,$766,$0,"$27,303","$7,830","$17,511",$881,$0,$0,$0,$0,$0,$0,$0,"$45,580","$8,711",100.0%,0.0%,77.7%,22.3%,95.2%,4.8%,,,84.0%,16.0%,0.0%,17.7%,13.8%,67.7%,0.7%,"$54,291"
NewDay Services,AGRKZVUS,Alias (DIY),Tier 6 (<$5K),"$2,000",25,"$5,830","$5,203","$6,246","$2,181",$0,$0,$0,"$1,683",$0,$720,$0,$0,"$32,335","$12,076","$42,121",52.8%,47.2%,74.1%,25.9%,,,0.0%,100.0%,22.3%,77.7%,5.9%,52.9%,38.2%,5.9%,2.9%,"$54,198"
Help Heal Veterans,ANEWPBAJ,Alias (DIY),Tier 3 ($20K–$50K),"$22,330",18,"$18,416","$3,439","$6,146",$355,$0,$0,"$4,916",$0,"$13,702","$7,210",$0,$0,$0,"$43,180","$11,004",84.3%,15.7%,94.5%,5.5%,,,100.0%,0.0%,79.7%,20.3%,2.1%,0.5%,21.4%,78.1%,0.0%,"$54,183"
St. Joseph’s Health Centre Foundation Guelph,ACKGCWGX,Alias (DIY),,,11,"$1,554",$0,"$35,048",$173,"$17,218",$110,$0,$0,$0,$0,$0,$0,$0,"$53,821",$283,100.0%,0.0%,99.5%,0.5%,99.4%,0.6%,,,99.5%,0.5%,0.0%,13.4%,35.2%,51.3%,0.0%,"$54,104"
Communities In Schools - Greater Tarrant County,ANVXULXG,Alias (DIY),Tier 6 (<$5K),"$7,000",25,$0,$0,"$38,470","$8,069",$0,$0,"$3,984",$426,$850,"$2,292",$0,$0,$0,"$43,304","$10,787",,,82.7%,17.3%,,,90.4%,9.6%,80.1%,19.9%,9.6%,13.6%,40.7%,45.8%,0.0%,"$54,091"
Action in Africa,AWEZNFFD,Alias (DIY),,,9,"$41,426",$982,"$6,189",$341,$639,$0,"$4,436",$0,$0,$0,$0,$0,$0,"$52,691","$1,323",97.7%,2.3%,94.8%,5.2%,100.0%,0.0%,100.0%,0.0%,97.6%,2.4%,1.4%,32.7%,29.8%,37.5%,0.0%,"$54,014"
St. Mary's Springs Academy,AXFLUQTG,Alias (DIY),Tier 6 (<$5K),"$3,000",25,"$9,765",$54,"$16,944","$5,831","$21,379",$0,$0,$0,$0,$0,$0,$0,$0,"$48,087","$5,885",99.5%,0.5%,74.4%,25.6%,100.0%,0.0%,,,89.1%,10.9%,1.6%,36.0%,22.5%,41.4%,0.0%,"$53,973"
Howlers Ridge,AVLUGQDA,Alias (DIY),,,7,"$36,693","$6,480","$9,242",$342,$108,"$1,068",$0,$0,$0,$0,$0,$0,$0,"$46,042","$7,890",85.0%,15.0%,96.4%,3.6%,9.2%,90.8%,,,85.4%,14.6%,7.7%,17.8%,30.8%,51.4%,0.0%,"$53,932"
The Pontifical Mission Societies USA,ALPASXUV,Alias (DIY),Tier 4 ($10K–$20K),"$10,000",25,"$10,235","$6,482","$24,500","$12,291",$0,$408,$0,$0,$0,$0,$0,$0,$0,"$34,735","$19,181",61.2%,38.8%,66.6%,33.4%,0.0%,100.0%,,,64.4%,35.6%,10.2%,29.2%,22.7%,45.7%,2.4%,"$53,917"
Peace Direct,AUWXLENR,Alias (DIY),Tier 6 (<$5K),,25,"$2,170",$824,"$29,702","$8,909","$7,431","$1,590",$0,$0,$377,$25,$0,$0,"$2,812","$39,680","$14,161",72.5%,27.5%,76.9%,23.1%,82.4%,17.6%,,,73.7%,26.3%,0.7%,25.8%,23.0%,50.4%,0.8%,"$53,840"
Dementia Alliance of North Carolina,AQHFQJDN,Alias (DIY),Tier 6 (<$5K),"$4,000",25,"$29,186","$12,577","$3,680","$4,465",$0,$0,$0,$0,$300,"$3,487",$0,$0,$0,"$33,166","$20,529",69.9%,30.1%,45.2%,54.8%,,,,,61.8%,38.2%,5.0%,11.6%,29.9%,58.5%,0.0%,"$53,695"
