"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"The Women's Foundation - Hong Kong","twfhk.org","twfhk.org","Prospect","","Working","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","-"
"Creative Artists Agency","caa.com","caa.com","Partner","","Responded","S41: Promotion of Business","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"UNICEF Czech Republic","unicef.cz","unicef.cz","Prospect","","Responded","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","-"
"Enthuse: Branded fundraising for charities","enthuse.com","enthuse.com","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Dogs for the Disabled","dogsfordisabled.ie","dogsfordisabled.ie","Prospect","","Working","P80: Services to Promote the Independence of Specific Population Groups","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","-"
"Lindy-Ann Hopley","beautifulwitness.com","beautifulwitness.com","Prospect","","Opportunity","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"AL Global Resources","alglobalresources.org","alglobalresources.org","Prospect","","Nurture","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","-"
"Robert Kennedy, Jr","kennedy4alabama.org","kennedy4alabama.org","Prospect","","Nurture","R20: Civil Rights, Advocacy for Specific Groups","R: Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups","Human Services","Human Services - Civil Rights, Social Justice","-"
"Ablaze Ministries","ablaze.us","ablaze.us","Customer","Churned","Partial Churn","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"Queen City Fintech","qcfintech.co","qcfintech.co","Prospect","","Responded","W60: Financial Institutions, Credit Unions","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Wave Hospitality Advisors","wavehospitalityadvisors.com","wavehospitalityadvisors.com","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Amnesty International The Netherlands","https://www.amnesty.nl/","amnesty.nl","Prospect","","Meeting Lost","Q70: International Human Rights","Q: International, Foreign Affairs, and National Security","International Human Rights","International Affairs","International Affairs - General","-"
"Califaconsulting","califaconsulting.com","califaconsulting.com","Prospect","","Opportunity","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"United24","https://u24.gov.ua/","u24.gov.ua","Prospect","Prospect","Working","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","-"
"Trilogyinteractive","trilogyinteractive.com","trilogyinteractive.com","Prospect","","Working","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"AQ2 Technology","aq2tech.com","aq2tech.com","Prospect","","Responded","U40: Engineering and Technology Research, Services","U: Science and Technology","Science & Technology Research Institutes, Services - General","Science & Technology","Science & Technology - General","-"
"Iluminemos de Azul","iluminemosdeazul.org","iluminemosdeazul.org","Prospect","","Responded","G84: Autism","G: Diseases, Disorders, Medical Disciplines","Autism","Healthcare","Healthcare - General","-"
"Arkus Inc.","arkusinc.com","arkusinc.com","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Twilio","https://www.twilio.com/","twilio.com","Partner","","Responded","B60: Adult, Continuing Education","B: Education","Higher Education","Education","Higher Education","-"
"Payasos Humanitarios","payasoshumanitarios.org","payasoshumanitarios.org","Prospect","","Working","A62: Dance","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","-"
"Nacogdoches HOPE","nacogdocheshope.org","nacogdocheshope.org","Prospect","","Opportunity","P40: Family Services","P: Human Services - Multipurpose and Other","Family Services","Human Services","Human Services - General","-"
"New Canvassing Experience","newcanvassing.com","newcanvassing.com","Partner","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Giant Heart","giantheart.org","giantheart.org","Prospect","","Opportunity","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","-"
