"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"International Relief and Development","irteams.org","irteams.org","Customer","Customer Active","Customer","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 4"
"Project C.U.R.E.","projectcure.org","projectcure.org","Prospect","Prospect","Working","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 4"
"United Way of Southwestern Pennsylvania","uwswpa.org","uwswpa.org","Prospect","Prospect","Working","T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Children's Foundation","yourchildrensfoundation.org","yourchildrensfoundation.org","Prospect","Prospect","Responded","E11: Health Care Single Organization Support","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"Park City Community Foundation","https://parkcitycf.org/","parkcitycf.org","Prospect","Engaged Prospect","Opportunity","T31: Community Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Social Justice Learning Institute","sjli.org","sjli.org","Prospect","Prospect","Responded","I05: Crime and Legal-Related Research Institutes and Public Policy Analysis","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 4"
"YMCA of Greater Boston","ymcaboston.org","ymcaboston.org","Prospect","Prospect","Responded","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 4"
"Easter Seals Ontario","easterseals.org","easterseals.org","Prospect","Prospect","Working","G: Diseases, Disorders, Medical Disciplines","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 4"
"Open Space Institute","openspaceinstitute.org","openspaceinstitute.org","Prospect","Prospect","Working","C34: Land Resources Conservation","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 4"
"Palm Springs Art Museum","psmuseum.org","psmuseum.org","Prospect","Prospect","Responded","A51: Art Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 4"
"Special Service for Groups, Inc","ssg.org","ssg.org","Prospect","Prospect","Nurture","P84: Ethnic, Immigrant Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Citizens' Climate Lobby","citizensclimateeducation.org","citizensclimateeducation.org","Prospect","Prospect","Working","C60: Environmental Education","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 4"
"Pennsylvania Voice","pennsylvaniavoice.org","pennsylvaniavoice.org","Prospect","Prospect","Responded","R01: Civil Rights, Social Action and Advocacy Alliances and Advocacy","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 4"
"Mercy Foundation","supportmercyfoundation.org","supportmercyfoundation.org","Prospect","Prospect","Responded","E11: Health Care Single Organization Support","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"Catholic Charities Eastern Washington","cceasternwa.org","cceasternwa.org","Prospect","Prospect","Responded","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 4"
"Neighbors Link","neighborslink.org","neighborslink.org","Prospect","Prospect","Working","P84: Ethnic, Immigrant Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"MedSend","medsend.org","medsend.org","Prospect","Engaged Prospect","Meeting Set","E12: Health Care Fund Raising and Fund Distribution","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"Sefaria","sefaria.org","sefaria.org","Prospect","Prospect","Working","B00: Education: General","B: Education","Education related Org - General","Education","Education - General","TIER 4"
"Alzheimers Foundation of America","alzfdn.org","alzfdn.org","Prospect","Engaged Prospect","Meeting Lost","G83: Alzheimers Disease","G: Diseases, Disorders, Medical Disciplines","Alzheimer's Care","Healthcare","Healthcare - General","TIER 4"
"School of American Ballet, Inc.","sab.org","sab.org","Prospect","Prospect","Working","A6E: Performing Arts Schools","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 4"
"Westchester Jewish Community Services, Inc.","wjcs.com","wjcs.com","Prospect","Prospect","Working","F32: Community Mental Health Center","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 4"
"Rio Grande Bible Ministries","riogrande.edu","riogrande.edu","Prospect","Prospect","Meeting Rescheduled","B50: Graduate, Professional Schools","B: Education","Higher Education","Education","Higher Education","TIER 4"
"Thistle Farms","thistlefarms.org","thistlefarms.org","Prospect","Prospect","Responded","F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment","F: Mental Health, Crisis Intervention","Alcohol, Drug, and Substance Abuse, Dependency, Prevention & Treatment","Healthcare","Healthcare - Mental Health, Abuse","TIER 4"
"Orange County Rescue Mission","rescuemission.org","rescuemission.org","Prospect","Prospect","Responded","L41: Homeless, Temporary Shelter","L: Housing, Shelter","Temporary Shelter for the Homeless","Human Services","Human Services - Housing, Shelter","TIER 4"
"ForKids","forkids.org","forkids.org","Prospect","Engaged Prospect","Opportunity","P85: Homeless Persons Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Home School Legal Defense Association Action","hslda.org","hslda.org","Prospect","Prospect","Meeting Lost","R60: Civil Liberties Advocacy","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 4"
"Arthritis Society Canada","arthritis.ca","arthritis.ca","Customer","Customer Active","Customer","G50: Nerve, Muscle, and Bone Diseases","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 4"
"Children's Rehabilitation Institute Teleton USA","critusa.org","critusa.org","Prospect","Prospect","Working","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 4"
"The Wilderness Society Ltd","wilderness.org.au","wilderness.org.au","Prospect","Prospect","Working","C: Environmental Quality, Protection, and Beautification","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 4"
"Regional Food Bank of Oklahoma (RFBO)","regionalfoodbank.org","regionalfoodbank.org","Prospect","Engaged Prospect","Meeting Lost","K31: Food Banks, Food Pantries","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 4"
"Archdiocese of Milwaukee","archmil.org","archmil.org","Prospect","","Nurture","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 4"
"Latino Community Foundation of Colorado","latinocfc.org","latinocfc.org","Prospect","Prospect","Working","P84: Ethnic, Immigrant Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Tampa Museum of Art Foundation","tampamuseum.org","tampamuseum.org","Prospect","Prospect","Responded","A51: Art Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 4"
"Ronald McDonald House Charities Bay Area","rmhcbayarea.org","rmhcbayarea.org","Customer","Customer Active","Customer","E86: Patient Services","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"Texas Women's Foundation","txwf.org","txwf.org","Prospect","Prospect","Responded","T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Divine Renovation","divinerenovation.org","divinerenovation.org","Prospect","","Responded","X22: Roman Catholic","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 4"
"Kennedy Krieger Institute","KennedyKrieger.org/Foundation","kennedykrieger.org","Customer","Customer Active","Customer","G20: Birth Defects and Genetic Diseases","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 4"
"Habitat for Humanity Philadelphia","habitatphiladelphia.org","habitatphiladelphia.org","Prospect","Engaged Prospect","Meeting Set","L20: Housing Development, Construction, Management","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"PAWS Pet Foundation","pawspetfoundation.org","pawspetfoundation.org","Prospect","Prospect","Working","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 4"
"Ohio Organizing Collaborative","ohorganizing.org","ohorganizing.org","Prospect","Prospect","Working","J40: Labor unions, organizations","J: Employment, Job Related","Labor Unions/Organizations","Public and Society Benefit","Public & Society Benefit - Employment, Job","TIER 4"
"Jobs to Move America","jobstomoveamerica.org","jobstomoveamerica.org","Prospect","Prospect","Responded","J20: Employment Procurement Assistance and Job Training","J: Employment, Job Related","Employment & Job Related Org - General","Public and Society Benefit","Public & Society Benefit - Employment, Job","TIER 4"
"Omega Institute for Holistic Studies","eomega.org","eomega.org","Prospect","Prospect","Working","A70: Humanities Organizations","A: Arts, Culture, and Humanities","Humanities Organizations","Arts & Culture","Arts & Culture - General","TIER 4"
"Camphill Village USA","camphillvillage.org","camphillvillage.org","Prospect","Prospect","Working","P70: Residential, Custodial Care (Group Home)","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Institute for jewish Spirituality","jewishspirituality.org","jewishspirituality.org","Prospect","Prospect","Working","X30: Jewish","X: Religion Related, Spiritual Development","Jewish","Religion","Religion - Jewish","TIER 4"
"Community Foundation of Eastern Connecticut","cfect.org","cfect.org","Prospect","Prospect","Responded","T31: Community Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"New Heights Youth","newheightsnyc.org","newheightsnyc.org","Prospect","Prospect","Meeting Rescheduled","O50: Youth Development Programs, Other","O: Youth Development","Youth Development Programs","Human Services","Human Services - Sports & Youth Development","TIER 4"
"Paterson Habitat for Humanity","habitatpc.org","habitatpc.org","Prospect","Prospect","Working","L20: Housing Development, Construction, Management","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Building Homes For Heroes","buildinghomesforheroes.org","buildinghomesforheroes.org","Prospect","Prospect","Responded","L12: Housing and Shelter Fund Raising and Fund Distribution","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Children's Institute, Inc.","childrensinstitute.org","childrensinstitute.org","Prospect","Prospect","Responded","P40: Family Services","P: Human Services - Multipurpose and Other","Family Services","Human Services","Human Services - General","TIER 4"
"Ohel Children's Home and Family Services","ohelfamily.org","ohelfamily.org","Prospect","Prospect","Responded","P70: Residential, Custodial Care (Group Home)","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"National Council for Mental Wellbeing","thenationalcouncil.org","thenationalcouncil.org","Prospect","Prospect","Responded","F80: Mental Health Association","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 4"
"The Thresholds","thresholds.org","thresholds.org","Prospect","Prospect","Responded","F30: Mental Health Treatment","F: Mental Health, Crisis Intervention","Mental Health Treatment","Healthcare","Healthcare - Mental Health, Abuse","TIER 4"
"Muslim Association of Hamilton","hamiltonmosque.com","hamiltonmosque.com","Prospect","Prospect","Working","X: Religion Related, Spiritual Development","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 4"
"Depaul International","depaulcharity.org","depaulcharity.org","Prospect","Prospect","Working","W: Public, Society Benefit - Multipurpose and Other","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Project South","projectsouth.org","projectsouth.org","Prospect","Prospect","Responded","V00: Social Science Research: General","V: Social Science Research Institutes","Social Science Research Institutes and Services - General","Public and Society Benefit","Public & Society Benefit - Social Science","TIER 4"
"Animal Humane Association of New Mexico","animalhumanenm.org","animalhumanenm.org","Prospect","Prospect","Opportunity","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 4"
"The Jewish Federation of Greater New Orleans","jewishnola.org","jewishnola.org","Prospect","Prospect","Meeting Rescheduled","X30: Jewish","X: Religion Related, Spiritual Development","Jewish","Religion","Religion - Jewish","TIER 4"
"Studio in A School Association","studioinaschool.org","studioinaschool.org","Prospect","Prospect","Working","A25: Arts Education, Schools of Art","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 4"
"Fund for the Arts","fundforthearts.org","fundforthearts.org","Prospect","Prospect","Responded","A26: Arts Council/Agency","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 4"
"Bochasanwasi Shri Akshar Purushottam Swaminarayan Sanstha Inc.","https://www.baps.org/home.aspx","baps.org","Prospect","Prospect","Meeting Lost","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 4"
"Northview Community Church","northview.org","northview.org","Prospect","Prospect","Responded","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 4"
"Columbia River Mental Health Services","crmhs.org","crmhs.org","Prospect","Prospect","Responded","F32: Community Mental Health Center","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 4"
"Columbia Land Trust","columbialandtrust.org","columbialandtrust.org","Prospect","","Working","C34: Land Resources Conservation","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 4"
"The Jack and Jill Children's Foundation","jackandjill.ie","jackandjill.ie","Prospect","","Opportunity","E12: Health Care Fund Raising and Fund Distribution","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"Hope Ignites","boyshopegirlshope.org","boyshopegirlshope.org","Prospect","Prospect","Responded","P30: Childrens and Youth Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 4"
"Barn Sanctuary","barnsanctuary.org","barnsanctuary.org","Customer","Customer Active","Customer","D30: Wildlife Preservation, Protection","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 4"
"Texas Civil Rights Project","txcivilrights.org","txcivilrights.org","Prospect","Prospect","Working","R60: Civil Liberties Advocacy","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 4"
"V-Day Inc","vday.org","vday.org","Prospect","Prospect","Working","I70: Protection Against, Prevention of Neglect, Abuse, Exploitation","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 4"
"SebastianStrong Foundation","sebastianstrong.org","sebastianstrong.org","Prospect","","Nurture","G30: Cancer","G: Diseases, Disorders, Medical Disciplines","Cancer Treatment","Healthcare","Healthcare - Cancer","TIER 4"
"Generals International","generals.org","generals.org","Customer","Customer Active","Customer","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 4"
"Moffitt Cancer Center","moffitt.org","moffitt.org","Prospect","Prospect","Meeting Set","E24: Hospital, Specialty","E: Health","Hospitals and Primary Medical Care Facilities","Healthcare","Healthcare - Hospitals","TIER 4"
"Upbring","upbring.org","upbring.org","Prospect","Prospect","Responded","P31: Adoption","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 4"
"David Suzuki Foundation","davidsuzuki.org","davidsuzuki.org","Prospect","Prospect","Working","V20: Social Science Research Institutes, Services","V: Social Science Research Institutes","Social Science Research Institutes and Services - General","Public and Society Benefit","Public & Society Benefit - Social Science","TIER 4"
"Canadian Feed The Children","https://canadianfeedthechildren.ca/","canadianfeedthechildren.ca","Prospect","Prospect","Meeting Lost","Not US","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 4"
"United Way of Roanoke Valley","uwrv.org","uwrv.org","Prospect","Prospect","Responded","T31: Community Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Sheltering Arms Foundation","shelteringarms.com","shelteringarms.com","Prospect","Prospect","Meeting Lost","E11: Health Care Single Organization Support","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"National Merit Scholarship","https://www.nationalmerit.org/s/1758/start.aspx?gid=2&pgid=61","nationalmerit.org","Customer","Customer Active","Customer","B82: Scholarships, Student Financial Aid Services","B: Education","Education related Org - General","Education","Education - General","TIER 4"
"Rotary District 7210","rotarydistrict7210.org","rotarydistrict7210.org","Prospect","Prospect","Responded","S80: Community Service Clubs","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Amazon Outreach","amazonoutreach.org","amazonoutreach.org","Prospect","Prospect","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 4"
"Time to Revive","timetorevive.com","timetorevive.com","Prospect","Prospect","Nurture","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 4"
"USO California","california.uso.org","california.uso.org","Prospect","Prospect","Nurture","W30: Military, Veterans Organizations","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"American Friends of Migdal OHR","migdalohrusa.org","migdalohrusa.org","Prospect","Prospect","Working","Q11: International, Foreign Affairs and National Security Single Organization Support","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 4"
"United Mission for Relief and Development","umrelief.org","umrelief.org","Prospect","Engaged Prospect","Meeting Lost","Q71: International Migration, Refugee Issues","Q: International, Foreign Affairs, and National Security","International Migration, Refugee Issues","International Affairs","International Affairs - General","TIER 4"
"Priorities USA Foundation","priorities.org","priorities.org","Prospect","Prospect","Responded","R40: Voter Education, Registration","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 4"
"ADRA Canada","ADRA.CA","adra.ca","Customer","Risky","At-Risk","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 4"
"St. Ann's Center for Children, Youth and Families","stanns.org","stanns.org","Customer","Customer New","Customer","P74: Hospice","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Virginia Museum of History and Culture","virginiahistory.org","virginiahistory.org","Prospect","Prospect","Working","A54: History Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 4"
"Bialik Hebrew Day School","bialik.ca","bialik.ca","Prospect","Prospect","Responded","Not US","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 4"
"Food Bank of the Rockies","foodbankrockies.org","foodbankrockies.org","Prospect","Prospect","Responded","K31: Food Banks, Food Pantries","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 4"
"Baptist World Aid","baptistworldaid.org.au","baptistworldaid.org.au","Prospect","Prospect","Working","General","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 4"
"Life In Messiah","https://lifeinmessiah.org/","lifeinmessiah.org","Customer","Customer Active","Customer","X30: Jewish","X: Religion Related, Spiritual Development","Jewish","Religion","Religion - Jewish","TIER 4"
"Broad Street Ministry","broadstreetministry.org","broadstreetministry.org","Prospect","","Self-Onboarding","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 4"
"Petros Network","petrosnetwork.org","petrosnetwork.org","Customer","Customer New","Customer","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 4"
"EarthRights International","earthrights.org","earthrights.org","Prospect","","Self-Onboarding","Q70: International Human Rights","Q: International, Foreign Affairs, and National Security","International Human Rights","International Affairs","International Affairs - General","TIER 4"
"Seneca Family of Agencies","senecafoa.org","senecafoa.org","Prospect","Prospect","Responded","F32: Community Mental Health Center","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 4"
"American Constitution Society","acslaw.org","acslaw.org","Prospect","Prospect","Nurture","R60: Civil Liberties Advocacy","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 4"
"International Center for Research on Women","icrw.org","icrw.org","Prospect","Prospect","Responded","R24: Womens Rights","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 4"
"SOS Children's Villages Canada","soschildrensvillages.ca","soschildrensvillages.ca","Customer","Customer New","Customer","Not US","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 4"
"Junior Achievement of Greater Washington","myja.org","myja.org","Prospect","Prospect","Working","O50: Youth Development Programs, Other","O: Youth Development","Youth Development Programs","Human Services","Human Services - Sports & Youth Development","TIER 4"
"Partnership for a Healthier America","ahealthieramerica.org","ahealthieramerica.org","Prospect","Prospect","Working","E70: Public Health Programs","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"United Way of Central New York Inc","unitedway-cny.org","unitedway-cny.org","Prospect","Prospect","Responded","S80: Community Service Clubs","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Travis Manion Foundation","travismanion.org","travismanion.org","Prospect","Prospect","Responded","T30: Public Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Public Foundations","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Project Drawdown","drawdown.org","drawdown.org","Customer","Customer Active","Customer","U30: Physical Sciences, Earth Sciences Research, Services","U: Science and Technology","Science & Technology Research Institutes, Services - General","Science & Technology","Science & Technology - General","TIER 4"
"Oxfam Intermón","oxfamintermon.org","oxfamintermon.org","Prospect","Prospect","Responded","T20: Private Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Private Grant making Foundations","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Center for Early Education","centerforearlyeducation.org","centerforearlyeducation.org","Prospect","Prospect","Working","B24: Elementary School","B: Education","K-12 Education","Education","K-12 Education","TIER 4"
"Making Waves Academy","makingwavesacademy.org","makingwavesacademy.org","Prospect","Prospect","Working","B29: Charter Schools","B: Education","K-12 Education","Education","K-12 Education","TIER 4"
"American Academy in Rome","aarome.org","aarome.org","Prospect","Prospect","Working","B82: Scholarships, Student Financial Aid Services","B: Education","Education related Org - General","Education","Education - General","TIER 4"
"Delaware State University","desu.edu","desu.edu","Prospect","Prospect","Working","B82: Scholarships, Student Financial Aid Services","B: Education","Education related Org - General","Education","Education - General","TIER 4"
"US Global Leadership Coalition","usglc.org","usglc.org","Prospect","Prospect","Responded","Q20: International Exchanges, Cultural Understanding","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 4"
"Foundation for Excellence in Education","excelined.org","excelined.org","Prospect","Prospect","Responded","B01: Education Alliances and Advocacy","B: Education","Education related Org - General","Education","Education - General","TIER 4"
"Indian Muslim Relief & Charities","imrcusa.org","imrcusa.org","Prospect","Prospect","Responded","P84: Ethnic, Immigrant Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Senator John Heinz History Center","heinzhistorycenter.org","heinzhistorycenter.org","Prospect","Prospect","Working","A54: History Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 4"
"Big Brothers Big Sisters of Canada","bigbrothersbigsisters.ca","bigbrothersbigsisters.ca","Prospect","Engaged Prospect","Meeting Lost","O30: Adult, Child Matching Programs","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 4"
"The David Sheldrick Wildlife Trust","sheldrickwildlifetrust.org","sheldrickwildlifetrust.org","Prospect","Prospect","Working","D30: Wildlife Preservation, Protection","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 4"
"Donald Danforth Plant Science Center","danforthcenter.org","danforthcenter.org","Prospect","Prospect","Responded","K05: Food, Agriculture and Nutrition Research Institutes and Public Policy Analysis","K: Food, Agriculture, and Nutrition","Food, Agriculture, Nutrition Org - General","Food & Nutrition","Food - General","TIER 4"
"The 19th","19thnews.org","19thnews.org","Customer","Customer Active","Customer","A30: Media, Communications Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 4"
"Pace Center for Girls","pacecenter.org","pacecenter.org","Customer","Customer Active","Customer","I40: Rehabilitation Services for Offenders","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 4"
"Texas Health Resources","texashealth.org","texashealth.org","Prospect","Engaged Prospect","Meeting Lost","E30: Health Treatment Facilities and Clinics, Outpatient","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"Bridge to Home","btohome.org","btohome.org","Prospect","Prospect","Meeting Rescheduled","S20: Community, Neighborhood Development, Improvement","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"26 West Church","26westchurch.org","26westchurch.org","Prospect","Prospect","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 4"
"Loaves & Fishes","loavesfishes.org","loavesfishes.org","Prospect","Prospect","Responded","K30: Food Service, Free Food Distribution Programs","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 4"
"Maestro Cares Foundation","maestrocares.org","maestrocares.org","Prospect","Prospect","Working","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 4"
"Starlight Children's Foundation","starlight.org.au","starlight.org.au","Prospect","Prospect","Responded","Not US","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 4"
"August Wilson Cultural Center","awaacc.org","awaacc.org","Prospect","Prospect","Working","A23: Cultural, Ethnic Awareness","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 4"
