Account Name,Account ID,Account Tier (Volume File),TIER (Religious Subset),Total Donation Volume $,Matched Volume Account Name,Match Type,Religious Match Reason
Miftaah Institute,ALLMLWUX,Tier 3 ($20K–$50K),TIER 3,"$1,179,317",Miftaah Institute,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Al Furqaan Foundation,AWDZXPTL,Tier 3 ($20K–$50K),TIER 3,"$1,121,408",Al-Furqaan Foundation,normalized,NTEE Code (Map to Sub Sectors): islam; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Bible League Canada,AMSBCQXZ,Tier 4 ($10K–$20K),TIER 3,"$1,114,189",Bible League Canada,exact,Account Name: bible; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
International Justice Mission Australia,ABMQCSVC,Tier 6 (<$5K),TIER 3,"$1,106,568",International Justice Mission Australia,exact,Account Name: mission
Restore7,ADEQBZGW,Tier 4 ($10K–$20K),TIER 3,"$1,099,999",Restore7,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Hope Channel International,AYDTFZLP,Tier 3 ($20K–$50K),TIER 3,"$1,076,376",Hope Channel International,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
The Lady Fatemah (a.s.) Charitable Trust,AYGHQZZH,Tier 3 ($20K–$50K),TIER 3,"$1,006,837",The Lady Fatemah (A.S.) Charitable Trust,normalized,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion
International Justice Mission UK,AGMQWWLR,Tier 4 ($10K–$20K),TIER 3,"$1,006,162",International Justice Mission UK,exact,Account Name: mission
Rockford Rescue Mission,APJFPDAZ,Tier 3 ($20K–$50K),TIER 3,"$976,119",Rockford Rescue Mission,exact,Account Name: mission
Tacoma Rescue Mission,AVMBACCQ,Tier 3 ($20K–$50K),TIER 2,"$915,561",Tacoma Rescue Mission,exact,Account Name: mission
South America Mission,AVLBCSVQ,,TIER 3,"$895,753",South America Mission,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Generals International,ATYZDJCV,Tier 4 ($10K–$20K),TIER 4,"$884,292",Generals International,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Institute of Catholic Culture,AKQXPPEN,Tier 3 ($20K–$50K),TIER 3,"$813,181",Institute of Catholic Culture,exact,Account Name: catholic; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Tikkun International,AGEBSDZJ,Tier 4 ($10K–$20K),TIER 3,"$797,931",Tikkun International,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Sacred Road Ministries,AQJDGZDY,Tier 4 ($10K–$20K),TIER 4,"$787,979",Sacred Road Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Muslim Public Affairs Council,ANSRXGKF,Tier 4 ($10K–$20K),TIER 4,"$780,563",Muslim Public Affairs Council,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Auckland City Mission,AUDDCMDQ,,TIER 3,"$773,357",Auckland City Mission,exact,Account Name: mission
NDW Ministries,AALQSFNM,Tier 6 (<$5K),TIER 4,"$772,059",NDW Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Jewish News Service,AMMBDGWA,Tier 4 ($10K–$20K),TIER 3,"$724,719",Jewish News Service,exact,Account Name: jewish; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Orchard Group,AUMSGFBR,Tier 4 ($10K–$20K),TIER 4,"$720,107",Orchard Group,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Terri Savelle Foy Ministries,ADJWJEGV,Tier 5 ($5K–10K),TIER 2,"$700,718",Terri Savelle Foy Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Orlando Union Rescue Mission,AHJHKGES,Tier 4 ($10K–$20K),TIER 2,"$669,183",Orlando Union Rescue Mission,exact,Account Name: mission
Global Disciples USA,ASUHKUUR,Tier 3 ($20K–$50K),TIER 4,"$645,164",Global Disciples USA,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Mission Services of London,ABPHKJZB,Tier 4 ($10K–$20K),TIER 3,"$634,824",Mission Services of London,exact,Account Name: mission
American Jewish World Service,ACKHVURD,Tier 3 ($20K–$50K),TIER 3,"$607,591",American Jewish World Service,exact,Account Name: jewish
The KSIMC of London,ASRLDJSW,Tier 3 ($20K–$50K),TIER 4,"$606,907",The KSIMC of London,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
New Gate to Peace Foundation,AAELSEAV,Tier 3 ($20K–$50K),TIER 4,"$571,741",New Gate to Peace Foundation,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Club Beyond,AQGBETLX,Tier 4 ($10K–$20K),TIER 4,"$567,599",Club Beyond,exact,NTEE Code (Map to Sub Sectors): religious
Souls Harbour Rescue Mission,AFHJXCRS,,TIER 2,"$561,230",Souls Harbour Rescue Mission,exact,Account Name: mission
Christian Leaders,AYNDZCRW,Tier 4 ($10K–$20K),TIER 3,"$556,398",Christian Leaders,exact,Account Name: christian; Account Name: christ
Hindu American Foundation,ATVSCLYF,Tier 6 (<$5K),TIER 5,"$556,394",Hindu American Foundation,exact,Account Name: hindu
Office of Adventist Mission,ARECLFZF,Tier 1 ($100K+),TIER 4,"$544,953",Office of Adventist Mission,exact,Account Name: mission; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion
CCEF (Christian Counseling & Educational Foundation),AFCCHWSR,Tier 3 ($20K–$50K),TIER 4,"$543,109",CCEF (Christian Counseling & Educational Foundation),exact,Account Name: christian; Account Name: christ
Northside Islamic Center of San Antonio,AQMFMHFQ,Tier 4 ($10K–$20K),TIER 4,"$521,441",NORTHSIDE ISLAMIC CENTER OF SAN ANTONIO,normalized,Account Name: islam; Account Name: islamic; NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Kelowna's Gospel Mission,AAFCRQQA,Tier 4 ($10K–$20K),TIER 4,"$517,211",Kelowna's Gospel Mission,exact,Account Name: gospel; Account Name: mission; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion
Jaco Booyens Ministries,ARYSNFJP,Tier 4 ($10K–$20K),TIER 4,"$506,130",Jaco Booyens Ministries,exact,Account Name: ministries
Victory Mission + Ministry,ASJZNSZT,Tier 5 ($5K–10K),TIER 4,"$500,577",Victory Mission + Ministry,exact,Account Name: ministry; Account Name: mission
IslamInSpanish,AXRJGJPD,Tier 4 ($10K–$20K),TIER 5,"$483,712",IslamInSpanish,exact,Account Name: islam; NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
St. John Cantius,AQHNJYYB,Tier 3 ($20K–$50K),TIER 3,"$476,547",St. John Cantius,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Islam by Touch,AEABUTKY,,TIER 3,"$463,161",Islam by Touch,exact,Account Name: islam; NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
mosquée de cachan,AJDNZNSF,Tier 6 (<$5K),TIER 3,"$456,842",Mosquée de cachan,normalized,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Matt Sorger Ministries,AZSZQLPZ,Tier 4 ($10K–$20K),TIER 4,"$449,659",Matt Sorger Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Paula White Ministries,AHCRSECF,,TIER 3,"$427,380",Paula White Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Bible Society Australia,AMWQVAZL,,TIER 3,"$416,703",Bible Society Australia,exact_multi_pick_max_volume_2,Account Name: bible; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Renovaré,AMQJNJCT,Tier 4 ($10K–$20K),TIER 4,"$407,756",Renovaré,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Lutheran Bible Translators,AYBZQKZW,Tier 4 ($10K–$20K),TIER 3,"$406,379",Lutheran Bible Translators,exact,Account Name: lutheran; Account Name: bible; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Christian Alliance for Orphans,ARPNTWCX,Tier 5 ($5K–10K),TIER 4,"$401,500",Christian Alliance for Orphans,exact,Account Name: christian; Account Name: christ
Mission Impact,AQVJENRY,Tier 5 ($5K–10K),TIER 5,"$393,072",Mission Impact,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Inspiration Ministries,ACHTMTHC,Tier 1 ($100K+),TIER 3,"$388,134",Inspiration Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
RadioU,AJZHVBBL,Tier 3 ($20K–$50K),TIER 5,"$382,294",RadioU,exact,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Sonrise Ministries,AKXYTNKF,Tier 6 (<$5K),TIER 5,"$348,502",Sonrise Ministries,exact,Account Name: ministries
God's Heart TV,AGYFLNPE,Tier 6 (<$5K),TIER 3,"$345,553",God's Heart TV,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
River of Life Mission,AMDZWSQG,Tier 4 ($10K–$20K),TIER 5,"$341,449",River of Life Mission,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Global Celebration,AKWQLGKE,Tier 5 ($5K–10K),TIER 5,"$340,974",Global Celebration,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
CMJ Israel,ALHQCDLK,Tier 3 ($20K–$50K),TIER 4,"$337,989",CMJ Israel,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Youth Apostles,AKBRHYVC,Tier 5 ($5K–10K),TIER 4,"$336,138",Youth Apostles,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Foster The City,ARBRTLWW,,TIER 3,"$333,510",Foster the City,normalized,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Catholic Charities Diocese of San Diego,APZFDZUQ,Tier 3 ($20K–$50K),TIER 4,"$333,481",Catholic Charities Diocese of San Diego,exact,Account Name: catholic
Interfaith Social Services,AQCJSZYU,Tier 6 (<$5K),TIER 4,"$333,169",Interfaith Social Services,exact,Account Name: faith
