Account Name,Account ID,Account Tier (Volume File),TIER (Religious Subset),Total Donation Volume $,Matched Volume Account Name,Match Type,Religious Match Reason
YWAM Fire and Fragrance Nashville,AMADUWJX,Tier 6 (<$5K),TIER 6,"$29,758",YWAM Fire and Fragrance Nashville,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Pastor Jeff Ministries,AFSZUFAA,,TIER 6,"$28,635",Pastor Jeff Ministries,exact,Account Name: ministries; Account Name: pastor; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Rhiza Coffee Co.,AMMDEGSZ,Tier 5 ($5K–10K),TIER 6,"$28,254",Rhiza Coffee Co.,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Renewal Ministries,ADFQQQGF,Tier 4 ($10K–$20K),TIER 5,"$27,880",Renewal Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Leadership Ministries Worldwide,AEHPVRLQ,Tier 6 (<$5K),TIER 6,"$27,611",Leadership Ministries Worldwide,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
International Gospel Tellers,AQQJZKUP,Tier 6 (<$5K),TIER 6,"$26,941",International Gospel Tellers,exact,Account Name: gospel; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Dar Al-Farooq Center,AUAMQYMT,Tier 6 (<$5K),TIER 6,"$23,836",Dar Al Farooq Center,normalized,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Pacific Union College Church,AUWLGNXJ,,TIER 6,"$23,040",Pacific Union College Church,exact,Account Name: church; Non-Profit Sector: religion
World Methodist Evangelism,AJMZJNPL,Tier 5 ($5K–10K),TIER 6,"$22,996",World Methodist Evangelism,exact,Account Name: methodist; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Jewish Institute for the Blind,ANYHDZLE,,TIER 6,"$22,344",Jewish Institute for the Blind,exact,Account Name: jewish
ESA Country Ministries,AKHJRMPR,Tier 6 (<$5K),TIER 6,"$21,794",ESA Country Ministries,exact,Account Name: ministries
Cranky's Farm Animal Rescue Mission,ATXKYVPM,Tier 5 ($5K–10K),TIER 6,"$21,602",Cranky's Farm Animal Rescue Mission,exact,Account Name: mission
Parish Collective,ARLLQHKM,Tier 6 (<$5K),TIER 6,"$21,182",Parish Collective,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
3HO Foundation International,ASJTXUUA,Tier 5 ($5K–10K),TIER 6,"$20,949",3HO Foundation International,exact,NTEE Code (Map to Sub Sectors): buddhist; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Baptist University of the Americas,AAXXNHVV,Tier 6 (<$5K),TIER 6,"$20,850",Baptist University of the Americas,exact,Account Name: baptist
Darul Arqam Institute Inc,ARSTYTPU,Tier 6 (<$5K),TIER 6,"$20,148",Darul Arqam Institute Inc,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Miracle Valley Oasis Center,AKUXBEMA,Tier 6 (<$5K),TIER 6,"$18,330",Miracle Valley Oasis Center,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Fairmount Christian Camp,AEKLZBFX,Tier 6 (<$5K),TIER 6,"$17,211",Fairmount Christian Camp,exact,Account Name: christian; Account Name: christ; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Timber Creek Retreat House,AHJSYRWN,Tier 6 (<$5K),TIER 6,"$16,619",Timber Creek Retreat House,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Beyond Translation,AXEUZLVC,Tier 6 (<$5K),TIER 6,"$16,286",Beyond Translation,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ZABS Place,AWTCQMRW,Tier 6 (<$5K),TIER 6,"$15,731",ZABS Place,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
God TV Australia,ATCFQDUJ,Tier 6 (<$5K),TIER 6,"$15,260",God TV Australia,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
The GC Project,ANTYTVVW,,TIER 6,"$14,372",The GC Project,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Mission Salaam,AUNTYEBS,,TIER 6,"$14,100",Mission Salaam,exact,Account Name: mission
BLAMELESS MINISTRIES INC.,ARJZYMXA,,TIER 6,"$13,730",BLAMELESS MINISTRIES INC.,exact,Account Name: ministries
Catholify,AJSVVMVN,Tier 6 (<$5K),TIER 6,"$13,568",Catholify,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Swanberg Christian Ministries,ARVDAZKX,,TIER 6,"$13,516",Swanberg Christian Ministries,exact,Account Name: ministries; Account Name: christian; Account Name: christ
Light Beyond Borders Inc.,AWQSTRZY,,TIER 6,"$11,288",Light Beyond Borders Inc.,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Pray Oregon,AMWQQURY,Tier 6 (<$5K),TIER 6,"$11,210",Pray Oregon,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Companions of Mary the Apostle Inc.,ACBWJDQR,Tier 6 (<$5K),TIER 6,"$10,683",Companions of Mary the Apostle Inc.,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Lubavitch of Yardley,AWHCHLNC,,TIER 6,"$10,548",Lubavitch of Yardley,exact,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
"FF SA YWAM USA, INC",AGKQMXAN,,TIER 6,"$8,814","FF SA YWAM USA, INC",exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Houston Quran Academy,AARMVFWY,,TIER 6,"$8,755",Houston Quran Academy,exact,Account Name: quran
Bible Media Group,ANVHPUDQ,Tier 5 ($5K–10K),TIER 6,"$8,549",Bible Media Group,exact,Account Name: bible
Salaam Ministries,ALHFNFCD,,TIER 6,"$8,329",Salaam Ministries,exact,Account Name: ministries
Knoxville Catholic High School,APNKCTRE,Tier 6 (<$5K),TIER 6,"$8,130",Knoxville Catholic High School,exact,Account Name: catholic; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Najam Institute Foundation,ANJGXZBD,,TIER 1,"$7,865",Najam Institute Foundation,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Najam Institute Foundation,ANJGXZBD,,TIER 4,"$7,865",Najam Institute Foundation,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Midtown Mosque,ATNFNVUK,,TIER 6,"$6,640",Midtown Mosque,exact,Account Name: mosque
Tottenham Hale Mosque & Community Centre,ATSMKMNZ,Tier 6 (<$5K),TIER 6,"$6,241",Tottenham Hale Mosque and Community Centre,normalized,Account Name: mosque; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Christian Pure,ADBTBVFX,Tier 5 ($5K–10K),TIER 6,"$6,172",Christian Pure,exact,Account Name: christian; Account Name: christ; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Nightlight Christian Adoptions,AKKNXPGD,Tier 6 (<$5K),TIER 6,"$6,104",Nightlight Christian Adoptions,exact,Account Name: christian; Account Name: christ
Al-Kisa Foundation,AULGBBVF,Tier 5 ($5K–10K),TIER 5,"$5,977",Al-Kisa Foundation,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
The Mini Farm Project Ltd,ATYLHGSX,Tier 6 (<$5K),TIER 6,"$5,675",The Mini Farm Project Ltd,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Foxhole Ministries,AZKWFWLE,Tier 6 (<$5K),TIER 6,"$5,227",Foxhole Ministries,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Chabad of White Marsh,ACGVHLYK,Tier 6 (<$5K),TIER 6,"$5,221",Chabad of White Marsh,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
The Barry Long Foundation International,AZQKMPLD,Tier 6 (<$5K),TIER 6,"$4,595",The Barry Long Foundation International,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Compassion Consortium,AMFVHLDM,Tier 6 (<$5K),TIER 6,"$3,922",Compassion Consortium,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Intown Jewish Preschool,ACZLGHYN,Tier 6 (<$5K),TIER 6,"$3,275",Intown Jewish Preschool,exact,Account Name: jewish
Dar-Al-Islam,AMAQEMKM,,TIER 6,"$2,230",Dar Al Islam,normalized,Account Name: islam
Step to Faith,AAGMVSXU,,TIER 6,"$2,017",Step to Faith,exact,Account Name: faith
Islamic Society of Greater Valley Forge,AAPAXLBQ,Tier 6 (<$5K),TIER 6,"$1,111",Islamic Society of Greater Valley Forge,exact,Account Name: islam; Account Name: islamic; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Gods Way Foundation,ARMVUBNM,,TIER 6,"$1,016",Gods Way Foundation,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Shalom World,AKKSRCBW,Tier 3 ($20K–$50K),TIER 3,$959,Shalom World,exact,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Commonwealth Cultural Foundation,ABXMJSPR,Tier 6 (<$5K),TIER 6,$865,Commonwealth Cultural Foundation,exact,NTEE Code (Map to Sub Sectors): religious
Global Commissionary Network,AKZDLJYM,,TIER 6,$742,Global Commissionary Network,exact,Account Name: mission
Church On the Dirt,ALBHVRNH,Tier 6 (<$5K),TIER 6,$124,Church On the Dirt,exact,Account Name: church; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
INTERNATIONAL ISLAMIC YOUTH LEAGUE,AVQAYXLP,,TIER 4,$17,International Islamic Youth League,normalized,Account Name: islam; Account Name: islamic
Human Appeal Canada,ABVSQKPU,,TIER 1,$5,Human Appeal Canada,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
Acton Institute,,,TIER 5,,,not_found,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - Austria,,,TIER 6,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - Belgium,,,-,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - Canada,,,TIER 6,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - France,,,-,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - Germany,,,TIER 3,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - International Global,,,TIER 1,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - Ireland,,,-,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - Mexico,,,-,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - Peru,,,-,,,not_found,Account Name: church
Aid to the Church in Need (ACN) - Spain,,,-,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - US,,,TIER 1,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Aid to the Church in Need (ACN) - US Spanish,,,-,,,not_found,Account Name: church; Non-Profit Sector: religion
Aid to the Church in Need (ACN) Global Spanish,,,-,,,not_found,Account Name: church; Non-Profit Sector: religion
Al Karma TV,,,TIER 4,,,not_found,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Al-badr islamic inc,,,TIER 5,,,not_found,Account Name: islam; Account Name: islamic; NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
All Things Ministries,,,TIER 6,,,not_found,Account Name: ministries; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Amazima Ministries International,,,TIER 2,,,not_found,Account Name: ministries
Ambassadors for Christ in Canada,,,TIER 4,,,not_found,Account Name: christ
American Leprosy Missions,,,TIER 6,,,not_found,Account Name: mission
Anastasia Foundation,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
At the Well Project,,,TIER 5,,,not_found,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Australian Islamic Centre,,,TIER 6,,,not_found,Account Name: islam; Account Name: islamic
Benedict XVI Institute,,,TIER 5,,,not_found,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Bridging the Word,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Bright Hope International,,,TIER 5,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Canons Regular of St. John Cantius,,,TIER 5,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Catholic Charities La Crosse,,,TIER 5,,,not_found,Account Name: catholic
Catholic Charities of Boston,,,TIER 3,,,not_found,Account Name: catholic
Catholic Charities of the Archdiocese of Saint Paul and Minneapolis,,,TIER 3,,,not_found,Account Name: catholic
Catholic Charities USA (CCUSA),,,TIER 1,,,not_found,Account Name: catholic; NTEE Code (Map to Sub Sectors): catholic; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Chabad Portola Valley and Woodside,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Cherry Street Mission Ministries,,,TIER 3,,,not_found,Account Name: ministries; Account Name: mission
Christian Blind Mission UK,,,TIER 4,,,not_found,Account Name: christian; Account Name: christ; Account Name: mission
Christian Relief Services 21st Century Campaign,,,TIER 3,,,not_found,Account Name: christian; Account Name: christ
Church Initiative,,,TIER 6,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Church World Service (CWS),,,TIER 3,,,not_found,Account Name: church
Clayton Christensen Institute,,,TIER 6,,,not_found,Account Name: christ
Club Beyond Payments,,,-,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Council on American-Islamic Relations (CAIR),,,TIER 2,,,not_found,Account Name: islam; Account Name: islamic
Council on American-Islamic Relations (CAIR) Florida,,,TIER 6,,,not_found,Account Name: islam; Account Name: islamic
CRISTA Ministries,,,TIER 1,,,not_found,Account Name: ministries
Date Palm Educational Trust DBA Islamic University of United Kingdom (IUUK),,,TIER 6,,,not_found,Account Name: islam; Account Name: islamic
Daystar Television Network - Canada,,,TIER 3,,,not_found,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Deaf Missions,,,TIER 6,,,not_found,Account Name: mission
