account_id,account_name,match_source,ntee_code,fru_sector,fru_subsector
AERWEPHZ,WA-BLOC,unclassified,,,
AEXDCYJD,Legacy International Online High School,id,B24,Education,K-12 Education
ARRDCVNF,Forgotten Not Gone,id,F40,Healthcare,"Healthcare - Mental Health, Abuse"
AWFCKSCV,Feeding Charlotte,id,"K30: Food Service, Free Food Distribution Programs",Food & Nutrition,Food Banks
AUALBUMD,Bomberos de Todos Santos,unclassified,,,
AKAVPZLV,Day Care Council of New York,id,P33,,
AEKQUVKB,ACN - Global,unclassified,,,
ACYHTGKB,Urban Alliance,id,P80: Services to Promote the Independence of Specific Population Groups,Human Services,"Human Services - Housing, Shelter"
ABEHMSHC,Parkinson's Wellness Fund,id,P30: Childrens and Youth Services,Human Services,Human Services - General
ADLXGQRS,Oak Grove School,unclassified,,,
AEVBYZZB,Breaking Barriers,unclassified,,,
AUNWWLCP,The Belize Project,id,Q33: International Relief,International Affairs,International Affairs - General
ADUSMJFY,Bunker Labs,id,,Public and Society Benefit,Public & Society Benefit - General
AKLUXTXE,Family Service of Chester County,id,P40: Family Services,Human Services,Human Services - General
AVYHAPET,AgeWise Colorado,id,,Religion,Religion - General
APVFTRHZ,Amref Health Africa in Canada,unclassified,,,
ANQBYVXC,"Catskill Mountain Foundation, Inc.",id,A110,Arts & Culture,Arts & Culture - General
AEVPNEXK,Program Development Services,unclassified,,,
AWJHAWGT,Frontline,id,T20,,
AXVVFCLM,Friends of Hope,unclassified,,,
ARFEVSPF,"Wild for the Nations, Inc.",id,X20,Religion,Religion - Christian
AGWMYXBF,The Foundation for the Malcolm Baldrige National Quality Award,unclassified,,,
ASLDXWZW,VAPA Foundation,id,B82,,
ATGGURXK,YMCA Camp Hayo-Went-Ha,unclassified,,,
AXXNUGUB,Lewis Latimer House,unclassified,,,
AXCDHWYR,Snowdon Wildlife Sanctuary,id,D340,Animal Welfare,Animal Welfare - General
AQFKUAAT,Rehema for Kids,id,,Human Services,Human Services - General
ABJAAZHY,SolarAid,id,Not US,Human Services,Human Services - Sports & Youth Development
ADFQQQGF,Renewal Ministries,id,X20: Christian,Religion,Religion - Christian
AFTYLXFL,Partners for HOME,id,L41,Human Services,"Human Services - Housing, Shelter"
AFTMYLAD,Porpoise Conservation Society,id,D31: Protection of Endangered Species,Animal Welfare,Animal Welfare - General
AUVBATLU,Breckenridge Outdoor Education Center,id,N60Z,Human Services,Human Services - Sports & Youth Development
AGBQUDFS,Nup to the Cup,unclassified,,,
ADWVDSBA,Farm Animal Rights Movement,id,D20: Animal Protection and Welfare,Animal Welfare,Animal Welfare - General
AVCBFFLB,United Abolitionists,id,A23Z,Environment,Environment - General
ALFNJEYY,We Care Foster Care,id,P20,Human Services,Human Services - General
AUZAMPXD,Light for Ukraine,unclassified,,,
ASDNKJQQ,Unity Charity,id,O50: Youth Development Programs,Human Services,Human Services - Sports & Youth Development
AGGBUBDU,Techo,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
ALSFGMGZ,Kids on the Move,id,,Education,K-12 Education
ASMMCMYJ,The Family Place Utah,id,,Human Services,Human Services - General
AYVBCCNN,East Cape Guild,unclassified,,,
ARBHDVMR,Spokane County Republican Central Committee,id,W01: Public and Societal Benefit Alliances and Advocacy,Public and Society Benefit,Public & Society Benefit - General
AWMFVMNG,USA Basketball Foundation,id,N70: Amateur Sports Competitions,Human Services,Human Services - Sports & Youth Development
AWRZHUVR,Fair Trade USA,id,,Food & Nutrition,Food - General
ASKQPANT,Dar Al Nur Community Center,id,,Religion,Religion - Islamic
APCWKATP,VOA Southeast Louisiana,id,P20: Human Service Organizations,Human Services,Human Services - General
AWDTARTL,Farm and Wilderness Conservation,id,C340,Human Services,Human Services - Sports & Youth Development
ALEFCGVM,Mile High Ministries,id,P280,Human Services,Human Services - General
ALDTWFCX,WINGS OF HOPE EQUITHERAPY,id,P82: Developmentally Disabled Centers and Services,Human Services,"Human Services - Housing, Shelter"
AXNNWUCA,Jason Lozano Ministries,unclassified,,,
AHJFTPKC,Bringing Music To Life,unclassified,,,
AZRTFSFH,Parker Hospital Foundation,unclassified,,,
AJGURKEH,"Slum2School Africa, Inc.",id,P20: Human Service Organizations,Human Services,Human Services - General
AKMCZGAA,Be Strong,id,"F40: Hot Line, Crisis Intervention Services",Healthcare,"Healthcare - Mental Health, Abuse"
AHJWNVYM,USA ForAfrika,unclassified,,,
AQXTZKWW,Eco-rrrevolución A.C.,unclassified,,,
ASPPCXJE,US Friends of The International Institute for Strategic Studies,id,Q20,,
ANVQEDSS,Islamic Scholarship Fund,id,B82,Education,Education - General
AABBNVUA,Gorlin Syndrome Alliance,id,G20: Birth Defects and Genetic Diseases,Healthcare,Healthcare - General
AHGHWPJQ,Friends of the Rouge,id,"C32: Water Resource, Wetlands Conservation and Management",Environment,Environment - General
AJWNBTWA,Make Food Not Waste,id,"K30: Food Service, Free Food Distribution Programs",Food & Nutrition,Food Banks
AEYBYPAX,El Sistema USA,id,A68: Music,Arts & Culture,Arts & Culture - General
ALVBQKGB,ACN - UK,unclassified,,,
AAAWPEHW,Église Bouddhique du Village des Pruniers,unclassified,,,
AKUJAGGK,Mindful Works,id,,Public and Society Benefit,"Public & Society Benefit - Employment, Job"
ALBDGKRX,Felidae Conservation Fund,id,"D30: Wildlife Preservation, Protection",Animal Welfare,Animal Welfare - General
AARTYJDH,LUMIN Schools,id,B24: Elementary School,Education,K-12 Education
ABLLKSQZ,Teach For Malaysia,id,B00: Educational Institutions,Education,Education - General
AEYEFPPK,Tinnitus Quest,id,H80,,
ACYWDZXP,Community Literature Initiative,id,P00: Human Services: General,Human Services,Human Services - General
AGRLQJGL,Angiosarcoma Awareness LLC,id,T30: Public Foundations,Public and Society Benefit,Public & Society Benefit - General
AKKSRCBW,Shalom World,id,X30: Jewish,Religion,Religion - Jewish
APEYBUPN,FreedomWorks Inc.,id,,Environment,Environment - General
ALUWGSAU,Not These Ovaries,id,T23,Public and Society Benefit,Public & Society Benefit - General
ADWGTXUY,XXEl Sistema Colorado,unclassified,,,
ATFZGGJN,The World is Just a Book Away,id,B99,,
AKYLLKDF,Home Rule Music and Film Preservation Foundation,id,A20,,
AFXGREGK,Lamb Care Australia,unclassified,,,
ASCLPTNF,Rebuilding Together SF,unclassified,,,
ASJGHAPX,Christian In Progress,id,,Religion,Religion - Christian
ANYPKSDY,Amigos de los Niños,unclassified,,,
AJPXMMPW,Pulitzer Center,id,"A33: Printing, Publishing",Arts & Culture,Arts & Culture - Media
AAPAXLBQ,Islamic Society of Greater Valley Forge,id,X00: Religion: General,Religion,Religion - General
AGNHTBWT,Entertainment Industry Foundation,id,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",Public and Society Benefit,Public & Society Benefit - General
AHJJFGPY,Women in Training Inc.,id,S81,Public and Society Benefit,Public & Society Benefit - General
AZAJUTHP,Trevor Noah Foundation,id,T20: Private Foundations,Public and Society Benefit,Public & Society Benefit - General
ATCFQDUJ,God TV Australia,id,X20: Christian,Religion,Religion - Christian
AEXJZCZJ,The Fletcher Foundation,id,T90,Human Services,Human Services - General
ARQVXWEW,Spay Neuter Network,id,D20,Animal Welfare,Animal Welfare - General
AYKLNHLF,Porter Hospital Foundation,id,E22,,
AUAMQYMT,Dar Al Farooq Center,id,X20: Christian,Religion,Religion - Christian
ANCNDEQX,The Alkare Foundation,id,A6C,Arts & Culture,Arts & Culture - General
ASMXWWKS,Stand Up To Cancer Canada,unclassified,,,
ANNGYZMA,ONG Zoé,unclassified,,,
ACAVYVKR,Zuccarellostiftelsen,unclassified,,,
AMYYERWJ,Gateway Christian Schools Foundation,id,B11,Education,Education - General
AVCZYZDN,IDCmissions,unclassified,,,
APABETMK,Nehemiah Entrepreneurship Community,unclassified,,,
ASQXVDGM,Live Ocean Foundation,id,"D30: Wildlife Preservation, Protection",Animal Welfare,Animal Welfare - General
AFDJSSRK,Momentum Children's Charity,unclassified,,,
AVEXSJHZ,Ukraine Rescue Fund,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
AJVVGCMW,Tim's Club,id,H84: Autism,Healthcare,Healthcare - General
AZYAVTGR,Habitat for Humanity Greater Vancouver,unclassified,,,
AYJJJBSR,Alcohol Change,unclassified,,,
AJTENQCV,The Separated Child Foundation,unclassified,,,
AZGPDCTT,Elévate Guatemala,id,B90: Educational Services,Education,Education - General
ABCEPCTX,The Arch Retreat,unclassified,,,
ADYSSXMK,NYC SALT,id,O50,Human Services,Human Services - Sports & Youth Development
ATKKUAFE,Sea Shepherd Brasil,unclassified,,,
ASEGJNMS,Tubman,name,P43: Family Violence Shelters and Services,Human Services,Human Services - General
AGBJXLKC,Marin Open Space Trust,unclassified,,,
AESEQWUG,Dream.Org,id,C60,,
AZQMXEBT,United Way of Southern Nevada,id,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",Public and Society Benefit,Public & Society Benefit - General
ALUSQSDR,Understand the Quran Foundation,unclassified,,,
AYPTFEGS,The Pursuit of History,id,A70: Humanities Organizations,Arts & Culture,Arts & Culture - General
ALZJHJVU,Ecology Action,id,,Environment,Environment - General
ABHRWQYP,YIMBY Denver,unclassified,,,
AQFLNRKN,Youth Garden Project,id,I20: Crime Prevention,Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
ABSRTNXG,"MX: The Palapa Society of Todos Santos, A.C.",unclassified,,,
AFLNBEPF,JC's Ranch,id,,Healthcare,"Healthcare - Mental Health, Abuse"
ASWTDVZP,Bath Cats & Dogs Home,id,D20: Animal Protection and Welfare,Animal Welfare,Animal Welfare - General
ACYJRCBY,United Way of Pierce County,id,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",Public and Society Benefit,Public & Society Benefit - General
ACMMHXDB,Native Fish Society,id,D33,Animal Welfare,Animal Welfare - General
ASBTYZUK,CAMFED (Euro),unclassified,,,
ABMBGNZE,Families in Nature,id,C60,Environment,Environment - General
ABTNLQCG,New West Theatre Society,unclassified,,,
ALUNHGYY,Conect,id,"S20: Community, Neighborhood Development, Improvement",Public and Society Benefit,Public & Society Benefit - General
AXGUFQKM,Street Socer USA - SF,unclassified,,,
AHEDERCV,Sausalito Beautiful,id,C50: Environmental Beautification and Open Spaces,Environment,Environment - General
ARGHYCWU,Jackson Hole Wildlife Foundation,id,D340,Animal Welfare,Animal Welfare - General
AMBBMCVG,Pratham USA,id,T30,International Affairs,International Affairs - General
AQRJNPHC,Girls LEAP,id,B20,Human Services,Human Services - Public Safety
AHPJPTGE,Shark Angels,id,"D30: Wildlife Preservation, Protection",Animal Welfare,Animal Welfare - General
ATPHUPRS,Friends of Coal Creek,unclassified,,,
BEIKUYDU,Pujols Family Foundation,id,P82: Developmentally Disabled Centers and Services,Human Services,"Human Services - Housing, Shelter"
AJSVVMVN,Catholify,id,X02: Religion-Related Management and Technical Assistance,Religion,Religion - General
AXPWGXGZ,Suffolk Libraries,unclassified,,,
ACXTQRKP,Phi Kappa Theta National Foundation,id,B110,Education,Education - General
AZHYJGEV,Vancouver Police Foundation,id,M20: Disaster Preparedness and Relief Service,Human Services,Human Services - Public Safety
AQXMZHUU,All Wheels Up,id,P80,Human Services,"Human Services - Housing, Shelter"
ASKWCTUG,An Open Book,id,B19,Education,Education - General
ASSDXJED,Sephardic Relief,id,A68: Music,Arts & Culture,Arts & Culture - General
ANKPMYYZ,Starlight Children's Foundation,name,Not US,Human Services,Human Services - Sports & Youth Development
AAMRKAJS,Muslim Legal Fund of America,id,R20,,
AJBUQXZY,National Math and Science Initiative,id,B99,Public and Society Benefit,Public & Society Benefit - Social Science
AEEUMKGH,VOX Teen Communications,id,A33Z,Human Services,Human Services - Sports & Youth Development
ANRKKLKV,Long Island Caddie Scholarship Fund,id,"B82: Scholarships, Student Financial Aid Services",Education,Education - General
AEYQWYRJ,Bridges to New Life Society,unclassified,,,
ANJLLYQF,Embrace Celebration,unclassified,,,
AZQSQXFS,"Nariz Roja, A.C.",unclassified,,,
AYEUGJPF,Biomimicry for Social Innovation,id,B01,Education,Education - General
ACYEPTEB,Project Syndicate,id,"Q30: International Development, Relief Services",International Affairs,International Affairs - General
AZGZHWUX,Rebuilding Together South Sound,id,L20,Human Services,"Human Services - Housing, Shelter"
AETFLYNE,Anchor,unclassified,,,
AEJPTREV,Inception e.V.,unclassified,,,
ATWHATHV,Pokhrama Foundation,id,,International Affairs,International Affairs - General
AJJZNDVU,Starfish Greathearts USA,id,P20,,
AWMTMTGX,International Tree Foundation,unclassified,,,
AZKDPYJC,MIB Agents,id,G30,Healthcare,Healthcare - Cancer
AHFZRAHJ,National New Play Network,id,A65: Theater,Arts & Culture,Arts & Culture - General
ATKWBQDZ,Looking Glass Animal Rescue,id,D20,Animal Welfare,Animal Welfare - General
AESJAJUK,Meros Center,unclassified,,,
ANRLXMRZ,Ezzree Institute,unclassified,,,
ATENNHNY,Sea Shepherd Österreich,unclassified,,,
ARUGQDCH,Central Florida Community Arts,id,,Arts & Culture,Arts & Culture - General
AXSJRXFX,National Wild Turkey Federation,id,"D30: Wildlife Preservation, Protection",Animal Welfare,Animal Welfare - General
ACBWJDQR,Companions of Mary the Apostle Inc.,id,X20: Christian,Religion,Religion - Christian
ARPWMVLV,Afropop Worldwide,id,,Arts & Culture,Arts & Culture - Media
AVSJXXBK,CAIR San Francisco Bay Area,unclassified,,,
APXQJFXR,EverBless,id,T20: Private Foundations,Public and Society Benefit,Public & Society Benefit - General
AHHLWCFG,Maverick Boys & Girls Club of Amarillo,id,O23Z,Human Services,Human Services - Sports & Youth Development
APBJNYYR,The Florida Center for Early Childhood,id,F32: Community Mental Health Center,Healthcare,"Healthcare - Mental Health, Abuse"
ABLWVCWT,Augustine Literacy Project,id,B90,Education,Higher Education
AQHBDVBU,Endowment Commons,unclassified,,,
AJHVURRR,Los Cabos Humane Society,unclassified,,,
ARXUWQSX,Servant's Oasis,id,,Arts & Culture,Arts & Culture - General
ARRDGTDL,San Francisco YIMBY,unclassified,,,
AXHMNYNA,Joybound People & Pets,unclassified,,,
ALRYVPKN,Bethesda Foundation,id,P750,Human Services,"Human Services - Housing, Shelter"
AKHXDUES,Barrhaven Food Cupboard,unclassified,,,
ASZMSZDV,Fundación Centro de Sueños,unclassified,,,
ASPMVZPP,The Center in Hollywood,id,P85: Homeless Persons Centers and Services,Human Services,"Human Services - Housing, Shelter"
AFTRKJQN,Tawheed Community Centre,id,,Religion,Religion - Christian
AUWUCDMM,Rebuilding Together Baton Rouge,id,M20,Human Services,"Human Services - Housing, Shelter"
ANXWABHL,As-Subah Trust,unclassified,,,
AXKARPCJ,Childcan,unclassified,,,
AWDAAWVZ,Wave of Harmony Foundation,id,A12,Arts & Culture,Arts & Culture - General
AMFBVRSE,NorCal Interscholastic Cycling League,unclassified,,,
ATNCVLXS,Path Forward,id,J22,Public and Society Benefit,"Public & Society Benefit - Employment, Job"
AHVHYHEL,FND Hope INT,unclassified,,,
AGMEBRVC,Madinah,unclassified,,,
AQPHBRJF,AMY WELLNESS FOUNDATION,id,T70,Healthcare,Healthcare - General
AKKLURDX,Muslim Youth of North America,id,,Religion,Religion - Christian
ADETXEJL,The Street Chaplaincy,id,,Human Services,Human Services - Sports & Youth Development
ALZWEVJF,The Oaks Collaborative General Account,unclassified,,,
ACHPDVGW,Fundacion Bendision,unclassified,,,
AQUSEKCS,Senior Housing Relief for Elders,id,L22,,
AWYMQKCG,Black Music Action Coalition,unclassified,,,
APNWXDXK,Anti-Slavery International,unclassified,,,
AQRECVMQ,GPS Education Partners,id,A99,Education,K-12 Education
AQEBYHMH,NewMexicoKidsCAN,unclassified,,,
AMSPVZNM,Texas South Plains Honor Flight,id,W30,Human Services,"Human Services - Housing, Shelter"
AWEUNZPA,The Civic Standard,id,"A20: Arts, Cultural Organizations",Arts & Culture,Arts & Culture - General
AVVMGTHX,EPU - Exceptional Parents Unlimited,unclassified,,,
ATXKYVPM,Cranky's Farm Animal Rescue Mission,unclassified,,,
AEBARPFC,Conserva Loreto,unclassified,,,
AGYSTWQM,US India Policy Institute,id,A05,International Affairs,International Affairs - General
AJQHBZGP,Oconee Christian Academy,unclassified,,,
AJBWVKND,Growing Up Boulder,id,,Education,K-12 Education
ARXBFYCC,Waypoint Centre,unclassified,,,
AFJPVGTE,Herobox,id,W30,,
ALUEMFLZ,Rebuilding Together Eastern Shore,unclassified,,,
AXHAAYNE,It's The Little Things Community Ltd,unclassified,,,
ANLJJJBV,Operation Song,id,"A20: Arts, Cultural Organizations",Arts & Culture,Arts & Culture - General
AVHGHTMZ,HIP Housing,unclassified,,,
AHMXDAYE,Big Life UK,unclassified,,,
AWVHXLUX,TechPoint Youth,unclassified,,,
