account_id,account_name_2025,account_name_2024,cohort_2025,in_2024_all_accounts,gpv_2024_usd,gpv_2025_usd,delta_2025_vs_2024_usd,yoy_2025_vs_2024_pct,account_tier_2025,religious_tier_2025,match_type,religious_match_reason
AJZHVBBL,RadioU,RadioU,legacy_2025,yes,391436.00,382294.00,-9142.00,-2.34,Tier 3 ($20K–$50K),TIER 5,exact,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AKXYTNKF,Sonrise Ministries,Sonrise Ministries,legacy_2025,yes,348626.00,348502.00,-124.00,-0.04,Tier 6 (<$5K),TIER 5,exact,Account Name: ministries
AGYFLNPE,God's Heart TV,God's Heart TV,legacy_2025,yes,294892.00,345553.00,50661.00,17.18,Tier 6 (<$5K),TIER 3,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
AMDZWSQG,River of Life Mission,River of Life Mission,legacy_2025,yes,294392.00,341449.00,47057.00,15.98,Tier 4 ($10K–$20K),TIER 5,exact,Account Name: mission; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AKWQLGKE,Global Celebration,Global Celebration,legacy_2025,yes,307846.00,340974.00,33128.00,10.76,Tier 5 ($5K–10K),TIER 5,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ALHQCDLK,CMJ Israel,CMJ Israel,legacy_2025,yes,295972.00,337989.00,42017.00,14.20,Tier 3 ($20K–$50K),TIER 4,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
AKBRHYVC,Youth Apostles,Youth Apostles,legacy_2025,yes,278266.00,336138.00,57872.00,20.80,Tier 5 ($5K–10K),TIER 4,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ARBRTLWW,Foster The City,,new_2025,no,0.00,333510.00,333510.00,,,TIER 3,normalized,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
APZFDZUQ,Catholic Charities Diocese of San Diego,Catholic Charities Diocese of San Diego,legacy_2025,yes,84751.00,333481.00,248730.00,293.48,Tier 3 ($20K–$50K),TIER 4,exact,Account Name: catholic
AQCJSZYU,Interfaith Social Services,Interfaith Social Services,legacy_2025,yes,156768.00,333169.00,176401.00,112.52,Tier 6 (<$5K),TIER 4,exact,Account Name: faith
